Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
16,RERA-PKL-309-2018,MILAP ESTATE II-10.8375,HRERA-PKL-AMB-78-2018,SAUBHAGYA COLONISERS PVT LTD,"VILLAGE NARAINGARH SECTOR-4 , NARAINGARH",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/119 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/119
17,RERA-PKL-1731-2025,MAHIRA GREENS 2,HRERA-PKL-AMB-739-2025,V & M REALCON,"VATIKA CITY CENTRAL, SECTOR 25",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3542 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3542
18,RERA-PKL-1127-2022,THE URBAN VILLAGE,HRERA-PKL-AMB-369-2022,V & M REALCON,"SECTOR-21, 22, 23 & 25",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2110 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2110
19,RERA-PKL-1592-2024,MM INDRAPRASTH,HRERA-PKL-AMB-668-2025,IMPERIAL DEVELOPERS,"VILLAGE SAUNDA, SECTOR 25, AMBALA",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3255 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3255
20,RERA-PKL-1476-2024,PARK STREET,HRERA-PKL-AMB-608-2024,M/S SURYANASH BUILDERS AND DEVELOPERS PVT LTD,"VILLAGE SUBA AKBARPUR, SECTOR 4",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2955 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2955
21,RERA-PKL-356-2018,MILAP ESTATE I- 14.90 ACRES,HRERA-PKL-AMB-77-2018,SAUBHAGYA COLONISERS PVT LTD,"VILLAGE NARAINGARH, HUSANI,KULLARPUR, SECTOR-4, NARAINGARH, AMBALA, HARYANA",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/298 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/298
22,RERA-PKL-1537-2024,FORTUNE CITY,HRERA-PKL-AMB-635-2024,M/S AXIS INFRABUILD PVT LTD,VILLAGE RAWLAN SECTOR 42,AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3102 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3102
23,RERA-PKL-2076-2026,JAGGI GRAND,HRERA-PKL-AMB-917-2026,JAIGURUJI BLESSINGS PRIVATE LIMITED,"VILLAGE KHURAMPUR MAJRI, SECTOR 16",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4158 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4158
24,RERA-PKL-1825-2025,ARCADIA INDUSTRIAL PARK,HRERA-PKL-AMB-812-2025,GANPATI INFRA,VILLAGE KAKKARMAJRA AND BICHPADI,AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3723 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3723
25,RERA-PKL-1853-2025,"SIGMA INDUSTRIAL PARK, KAKKAR MAJRA",HRERA-PKL-AMB-800-2025,M/S SIGMA DEVELOPERS,"VILLAGE KAKKAR MAJRA & BICHPARI, TEHSIL SHEHJADPUR, DISTRICT, AMBALA",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3784 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3784
27,RERA-PKL-1942-2026,MAHIRA UTSAV,HRERA-PKL-AMB-852-2026,V & M REALCON,"VILLAGE KANWALI, SECTOR 26 AMBALA",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3926 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3926
28,RERA-PKL-2081-2026,SAI RESIDENCY  SECTOR 26 AMBALA CITY,HRERA-PKL-AMB-942-2026,RCNP BUILDERS & DEVELOPERS PRIVATE LIMITED,VILLAGE SARAI MEHADUD SECTOR 26 AMBALA,AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4165 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4165
29,RERA-PKL-2056-2026,HARYANA INDUSTRIAL TOWNSHIP,HRERA-PKL-AMB-943-2026,HARYANA INDUSTRIAL TOWNSHIP,VILLAGE NAHAUNI,AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4129 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4129
30,RERA-PKL-2045-2026,SECTOR 18 AMBALA BUSINESS PARK,HRERA-PKL-AMB-935-2026,NAVDESH ASSOCIATES LLP,"VILLAGE KAKRU AND SULTANPUR, SECTOR 18B",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4107 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4107
33,RERA-PKL-2111-2026,SIGMA INDUSTRIAL PARK-SAHA,HRERA-PKL-AMB-960-2026,MAHIMA BUILDTECH,"VILLAGE KALPI AND NAHAWANUNI, SUB TEHSIL MULANA DISTRICT AMBALA",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4227 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4227
