Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
182,RERA-PKL-1850-2025,ALAN CITY,HRERA-PKL-SNP-803-2025,M/S JAGRAMM INFRATECH LLP,"SEC-7 VILLAGE THANAKALAN TEHSIL KHARKHODA,SONIPAT, HARYANA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3778 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3778
183,RERA-PKL-1846-2025,SKYMARX HORIZON ONE,HRERA-PKL-SNP-797-2025,ARVEEN BUILD ESTATE LLP,"SECTOR 6, VILLAGE PIPLI",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3772 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3772
185,RERA-PKL-1866-2025,AADYAM,HRERA-PKL-SNP-814-2025,JINDAL REALTY LIMITED,"VILLAGE RATHDHANA, SECTOR 34",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3803 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3803
187,RERA-PKL-1903-2025,VISION PRIDE GREEN,HRERA-PKL-SNP-833-2026,VISION PRIDE INFRATECH PRIVATE LIMITED,"VILLAGE GARH SHAHJAHANPUR,SECTOR-17",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3865 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3865
188,RERA-PKL-1659-2025,ULTIMA TOWN,HRERA-PKL-SNP-691-2025,ULTIMATE REAL HOUSING PRIVATE LIMITED,"VILLAGE RATHDHANA, SECTOR-35, TEHSIL & DISTRICT SONIPAT, HARYANA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3395 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3395
190,RERA-PKL-1928-2025,RISHIKA INDUSTRIAL CITY,HRERA-PKL-SNP-863-2026,RRTITAM DEVELOPERS LLP,VILLAGE ROHAT,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3901 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3901
191,RERA-PKL-1944-2026,PARKER NIKETAN,HRERA-PKL-SNP-877-2026,PARKER INFRASTRUCTURE PRIVATE LIMITED,"SECTOR - 61, NANGAL KALAN, SONEPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3928 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3928
192,RERA-PKL-1951-2026,NRI- MURTHAL INDUSTRIAL TOWNSHIP,HRERA-PKL-SNP-884-2026,SEAGULL BUILDWELL PVT. LTD.,VILLAGE GANNAUR,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3941 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3941
193,RERA-PKL-1940-2026,METRO CITY,HRERA-PKL-SNP-878-2026,M/S LANDLORD DEVELOPERS PVT. LTD.,SECTOR-41 SONIPAT,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3923 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3923
195,RERA-PKL-1918-2025,NV CITY,HRERA-PKL-SNP-835-2026,RISHABH RESIDENCYLLP,"SECTOR 6, VILLAGE PIPLI, VILLAGE KHARKHODA, SONEPAT, HARYANA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3883 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3883
196,RERA-PKL-1235-2023,NEXTRA CITY 2,HRERA-PKL-SNP-465-2023,NEXTRA DEVELOPERS LLP,"SECTOR 2, KHARKHODA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2372 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2372
198,RERA-PKL-1950-2026,AARAMBH GREENS,HRERA-PKL-SNP-869-2026,KK DHANUKA ESTATES PVT LTD,VILLAGE THANA KALAN SECTOR-07 TEHSIL-KHARKHODA SONIPAT HARYANA -131402,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3940 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3940
200,RERA-PKL-1959-2026,GANAUR CENTRAL,HRERA-PKL-SNP-895-2026,DEMEANOR CONSTRUCTION PRIVATE LIMITED,"VILLAGE BAI , SECTOR-3, GANAUR",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3951 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3951
202,RERA-PKL-1870-2025,P P GALLERIA 1,HRERA-PKL-SNP-851-2026,GPB TRADING LLP,"COMMERCIAL SITE - I (POCKET A) IN JINDAL CITY SECTOR 33, 34 AND 35",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3811 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3811
203,RERA-PKL-1964-2026,NIKUNJ CITY,HRERA-PKL-SNP-892-2026,SVSJ BUILDPROP LLP,"VILLAGE DEVRU SECTOR-91, SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3962 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3962
204,RERA-PKL-1916-2025,ROYAL GREEN COUNTY THE SELECT,HRERA-PKL-SNP-862-2026,SUREPASS INFRA LLP,"IN THE REVENUE ESTATE OF VILLAGE- JAKHAULI, SECTOR-70, TEHSIL RAI, DISTRICT SONIPAT, HARYANA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3881 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3881
205,RERA-PKL-1983-2026,SIDDHARTHA RESIDENCY,HRERA-PKL-SNP-891-2026,SIDDHARTHA DEVELOPERS,SECTOR 11A,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4001 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4001
206,RERA-PKL-1934-2026,AVANI EXPERIA,HRERA-PKL-SNP-855-2026,MRIDA EXPRESS CITY LLP,"VILLAGE RATHDHANA, SECTOR 33",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3916 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3916
207,RERA-PKL-1673-2025,SAVANAH GREENS,HRERA-PKL-SNP-708-2025,MANAV ASSOCIATESPRIVATE LIMITED,"VILLAGE KUMASPUR,SECTOR 81",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3434 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3434
208,RERA-PKL-1979-2026,ASHOKA GREENS,HRERA-PKL-SNP-870-2026,SHUBHASHOK INFRA GROW LLP,SECTOR 33,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3990 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3990
209,RERA-PKL-1996-2026,THE ELITE ADDRESS,HRERA-PKL-SNP-899-2026,SONIPAT DEVRU VENTURES LLP,VILLAGE DEVRU SECTOR 91,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4020 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4020
211,RERA-PKL-2004-2026,RUDRA COUNTY,HRERA-PKL-SNP-890-2026,NATURE EARTH KHARKHODA LLP,VILLAGE KHAUKHAUDA SECTOR 11,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4031 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4031
212,RERA-PKL-1685-2025,RISHIKA CITY CENTRE,HRERA-PKL-SNP-840-2026,VARDAAN BUILDTECH PRIVATE LIMITED,"OPP SBI BANK, SUBHASH CHOWK, SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3454 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3454
213,RERA-PKL-2020-2026,AGAMYA PRIME,HRERA-PKL-SNP-901-2026,OAK HILLS INFRA,"VILLAGE RATHDHANA , SECTOR 35",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4059 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4059
215,RERA-PKL-1691-2025,NEWSTONE PARK,HRERA-PKL-SNP-711-2025,PTRT BUILDERS PRIVATE LIMITED,"VILLAGE NANGAL KALAN & PATLA, SECTOR-63 & 64, TEHSIL RAI & DISTRICT SONIPAT, HARYANA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3469 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3469
216,RERA-PKL-1693-2025,NEOLIV GRAND PARK,HRERA-PKL-SNP-698-2025,SOUTH WEST BLISS PRIVATE LIMITED,"SECTOR 70, KUNDLI SONIPAT MASTER PLAN, SONIPAT, VILLAGE- ATERNA AND JAKHAULI",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3471 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3471
217,RERA-PKL-1998-2026,SUPERMAX AVENUE 35,HRERA-PKL-SNP-894-2026,SUPERMAX AFFORDABLE HOUSING PVT LTD,"SECTOR-35, RATHDHANA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4022 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4022
219,RERA-PKL-2064-2026,SHREE RAM RESIDENCY,HRERA-PKL-SNP-926-2026,UNILIANCE PRIVATE LIMITED,VILLAGE SULTANPUR AND SHADIPUR SECTOR 2,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4138 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4138
220,RERA-PKL-2074-2026,SONIPAT INTERNATIONAL CITY BY RIGHTLAND,HRERA-PKL-SNP-927-2026,RRITAM DREAMBUILDERS LLP,NASIRPUR BANGAR & HARSANA KALAN,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4151 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4151
221,RERA-PKL-2072-2026,NUGRAJ INDUSTRIAL PARK,HRERA-PKL-SNP-928-2026,BENISONS HOMES LLP,JHAROTH AND JHAROTHI TEHSIL KHARKHODA,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4149 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4149
222,RERA-PKL-2077-2026,NEXTRA CITY-3,HRERA-PKL-SNP-929-2026,NEXTRA DREAM TOWN REALTY PVT. LTD.,"REVENUE ESTATE OF VILLAGE KHARKHODA, SECTOR-2, KHARKHODA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4160 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4160
223,RERA-PKL-2094-2026,SONIPAT GLOBAL INDUSTRIAL TOWNSHIP KHARKHODA,HRERA-PKL-SNP-936-2026,MRIDA SEVEN ELEMENT LLP,"VILLAGE- JHAROTHI, TEHSIL KHARKHODA, DISTRICT - SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4189 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4189
225,RERA-PKL-1170-2022,BTW GRAND SQUARE,HRERA-PKL-SNP-420-2023,JBB EVEREST BUILDTECH PVT. LTD.,SECTOR-61,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2209 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2209
226,RERA-PKL-2079-2026,KALPTARU RESIDENCY,HRERA-PKL-SNP-954-2026,KALPTARU DEVELOPERS PRIVATE LIMITED,"VILLAGE THANA KALAN, SECTOR-7, KHARKHODA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4163 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4163
229,RERA-PKL-2112-2026,THE GRAND COURTYARD,HRERA-PKL-SNP-964-2026,SHEHANSHAH BUILDWELL LLP,"NANGAL KHURD, SECTOR 84",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4231 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4231
230,RERA-PKL-2115-2026,SONEPAT GLOBAL INDUSTRIAL TOWNSHIP PHASE-4,HRERA-PKL-SNP-965-2026,SYSCOM EDUTECH PRIVATE LIMITED,"VILLAGE DEVRU & JAWAHRI, DIST. SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4236 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4236
232,RERA-PKL-789-2019,RESIDENTIAL TOWNSHIP,HRERA-PKL-SNP-259-2021,RAMA KRISHNA BUILDWELL PVT LTD,"SECTOR-7&13;, 16TH MILE STONE, NH-1, GANAUR, SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1131 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1131
233,RERA-PKL-786-2019,PRESIDIA HEIGHTS,HRERA-PKL-SNP-258-2021,RAMA KRISHNA BUILDWELL PVT LTD,"DIVINE CITY, NH-1, 16TH MILE STONE, SONIPAT, HARYANA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1124 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1124
234,RERA-PKL-894-2020,JINDAL GLOBAL CITY (PHASE-V),HRERA-PKL-SNP-243-2021,JINDAL REALTY LIMITED,SECTOR 33-34-35,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1516 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1516
235,RERA-PKL-623-2019,SEAGULL BUILDWELL PVT. LTD.,HRERA-PKL-SNP-138-2019,SEAGULL BUILDWELL PRIVATE LIMITED,"VILLAGE BHIGAN, SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/725 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/725
236,RERA-PKL-2002-2026,SURAKSHA ENCLAVE,HRERA-PKL-SNP-972-2026,RAMA KRISHNA BUILDWELL PVT LTD,"VILLAGE BARHI & GARHI KESRI, SECTOR 15, GANAUR",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4027 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4027
