Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
1,Not Available,TUSCAN CITY(PHASE 3),368 OF 2017 DATED 24.11.2017,TDI INFRASTRUCTURE LTD.,"SECTOR 58, 59, 60, 61, AND 64 , DISTRICT SONIPAT, HARYANA",SONIPAT,INTERIM RERA,,Not Available,1,https://haryanarera.gov.in/view_project/view_certificate/NTk=
2,-594-2019,NEXTRA DEVELOPERS LLP,35 OF 2017 DATED 07.08.2017,NEXTRA DEVELOPERS LLP,"VILLAGE KHARKHODA, SEC-2, PEE PLI, SONEPAT",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/690 | https://haryanarera.gov.in/view_project/view_certificate/NDE= | https://haryanarera.gov.in/view_project/project_preview_open/690
3,-380-2018,"PARSVNATH CITY ,(118 ACRES)",344 OF 2017 DATED 26.10.2017,PARSVNATH DEVELOPERS LTD.,"SECTOR 8, NH 1, SONEPAT, HARY ANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/342 | https://haryanarera.gov.in/view_project/view_certificate/OTE= | https://haryanarera.gov.in/view_project/project_preview_open/342
4,-581-2019,METRO VIEW,314 OF 2017 DATED 17.10.2017,MAXHEIGHTS TOWNSHIP AND PROJECTS PVT. LTD.,"SECTOR 35, TEHSIL RAI, SONEPA T , HARYANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/670 | https://haryanarera.gov.in/view_project/view_certificate/NDI= | https://haryanarera.gov.in/view_project/project_preview_open/670
5,-765-2019,SUSHANT CITY KUNDLI-ZONE 2,303 OF 2017 DATED 16.10.2017,ANSAL PROPERTIES AND INFRASTRUCTURE LTD.,"TEHSIL RAI, DISTRICT SONEPAT, HARYANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/924 | https://haryanarera.gov.in/view_project/view_certificate/NjQ= | https://haryanarera.gov.in/view_project/project_preview_open/924
6,-833-2020,AFFORDABLE GROUP HOUSING PROJECT   ON 5 ACRES,334 OF 2017 DATED 24.10.2017,MAXHEIGHTS PROMETERS  PVT. LTD.,"SECTOR 61, VILLAGE NAGAL KALA N , SONEPAT, HARYANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1316 | https://haryanarera.gov.in/view_project/view_certificate/OTM= | https://haryanarera.gov.in/view_project/project_preview_open/1316
7,-374-2018,PARSVNATH PRESTON SONEPAT,132 OF 2017 DATED 28.08.2017,PARSVNATH DEVELOPERS LTD.,"VILLAGE SHAHPUR TURK, SECTOR 9/18, DISTRICT SONEPAT , HARYANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/335 | https://haryanarera.gov.in/view_project/view_certificate/ODY= | https://haryanarera.gov.in/view_project/project_preview_open/335
8,-378-2018,PARSVNATH CITY CENTER SONEPAT,141 OF 2017 DATED 28.08.2017,PARSVNATH DEVELOPERS LTD.,"NEW PWD GUEST HOUSE, RAILWAY ROAD, SONEPAT, HARYANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/339 | https://haryanarera.gov.in/view_project/view_certificate/ODk= | https://haryanarera.gov.in/view_project/project_preview_open/339
9,-797-2019,"WATER SIDE LFLOORS, LAKE DRIVE, LAKE SIDE HEIGHTS, EWS",43 OF 2017 DATED 11.08.2017,TDI INFRACORP(INDIA) LIMITED,"SECTOR 64 VILLAGE PATLA, TEHS IL SONEPAT,",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1161 | https://haryanarera.gov.in/view_project/view_certificate/NDY= | https://haryanarera.gov.in/view_project/project_preview_open/1161
10,-601-2019,WHITE LILY,HRERA-PKL-SNP-2-2018,AAKARSHAK REALATORS PVT. LTD.,"SECTOR-8, VILLAGE KAMASPUR, N EAR TAU DEVI LAL PAR, MAIN NH -1, SONEPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/697 | https://haryanarera.gov.in/view_project/view_certificate/MTY2 | https://haryanarera.gov.in/view_project/project_preview_open/697
11,-546-2019,IB CITY,335 OF 2017 DATED 24.10.2017,INDIABULLS ESTATE LTD.,"SECTOR -26, 26A, 33 & 34 SONE PAT, HARYANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/623 | https://haryanarera.gov.in/view_project/view_certificate/NTc= | https://haryanarera.gov.in/view_project/project_preview_open/623
12,-891-2020,AFFORDABLE RESIDENTIAL  PLOTTED  COLONY  ON 6.14 ACRES,370 OF 2017 DATED 24.11.2017,MERA BABA REAL ESTATE PVT. LTD.,"TEHSIL GANAUR, DISTRICT SONIP AT, HARYANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1513 | https://haryanarera.gov.in/view_project/view_certificate/MTA4 | https://haryanarera.gov.in/view_project/project_preview_open/1513
13,-384-2019,"PARSVNATH CITY , SONEPAT(20.159 ACRES)",332 OF 2017 DATED 24.10.2017,PARSVNATH DEVELOPERS LTD.,"SECTOR 8, NH 1, SONEPAT , HAR YANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/357 | https://haryanarera.gov.in/view_project/view_certificate/ODg= | https://haryanarera.gov.in/view_project/project_preview_open/357
14,-890-2020,AFFORDABLE RESIDENTIAL PLOTTED COLONY  ON 14.68 ACRES,371 OF 2017 DATED 27.11.2017,RAMA KRISHNA BUILDWELL PVT. LTD.,"VILLAGR BARHI AND GARH KESRI , SECTOR 215 TEHSIL GANAUR , DISTRICT  SONIPAT, HARYANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1512 | https://haryanarera.gov.in/view_project/view_certificate/Nzk= | https://haryanarera.gov.in/view_project/project_preview_open/1512
15,-698-2019,SONEPAT GLOBAL CITY,261 OF 2017 DATED 03.10.2017,JINDAL REALTY PVT. LTD.,"SECTOR 33, 34 & 35, SONEPAT, HARYANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/831 | https://haryanarera.gov.in/view_project/view_certificate/NTM= | https://haryanarera.gov.in/view_project/project_preview_open/831
16,-506-2019,AFFORDABLE GROUP HOUSING COLONY  ON 5 ACRES,343 OF 2017 DATED 27.10.2017,SUPER MAX AFFORDABLE HOUSING PVT. LTD.,"SECTOR 33, RATHDHANA, SONEPAT",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/566 | https://haryanarera.gov.in/view_project/view_certificate/NjE= | https://haryanarera.gov.in/view_project/project_preview_open/566
17,-647-2019,GREEN WOOD CITY A PLOTTED COLONY ON AREA 137.55 ACRES,HRERA-PKL-SNP-15-2018 DATED: 12-06-2018,JAI KRISHNA ARTEC J.V,"SECTOR-26, 26-A & 27,DISTRICT SONEPAT HARYANA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/761 | https://haryanarera.gov.in/view_project/view_certificate/MTg1 | https://haryanarera.gov.in/view_project/project_preview_open/761
18,-665-2019,SONEPAT GLOBAL CITY -PHASE II,149 OF 2017 DATED 28.08.2017,JINDAL REALTY PVT. LTD.,"SECTOR 33, 34 & 35, TEHSIL & DISTRICT SONEPAT, HARYANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/786 | https://haryanarera.gov.in/view_project/view_certificate/MjE2 | https://haryanarera.gov.in/view_project/project_preview_open/786
19,-691-2019,SONEPAT GLOBAL CITY -PHASE III,165 OF 2017 DATED 29.08.2017,JINDAL REALTY PVT. LTD.,"SECTOR 33, 34 & 35 TEHSIL AND DISTRICT SONEPAT, HARYANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/822 | https://haryanarera.gov.in/view_project/view_certificate/NjM= | https://haryanarera.gov.in/view_project/project_preview_open/822
20,RERA-PKL-803-2020,SURAKSHA ENCLAVE,Not Issued Yet,MERA BABA REAL ESTATE PVT. LTD.,"VILLAGE GARHI KESARI,SEC-15, GANAUR, DISTT. SONIPAT, HARYANA",SONIPAT,HRERA,In-Process,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1196 | https://haryanarera.gov.in/view_project/project_preview_open/1196
22,RERA-PKL-567-2019,AMBER PARK AT PARADISE GREENS,HRERA-PKL-SNP-123-2019,PARILOK REAL ESTATES PRIVATE LIMITED,"SECTOR -63, TEHSIL RAI & DISTRICT SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/650 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/650
24,RERA-PKL-576-2019,CORAL PARK AT PARADISE GREENS,HRERA-PKL-SNP-133-2019,J S BROADCASTING PRIVATE LIMITED,"SECTOR -64, TEHSIL RAI & DISTRICT SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/663 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/663
27,RERA-PKL-808-2020,CONNAUGHT STREET,HRERA-PKL-SNP-197-2020,SANA REALTORS PRIVATE LIMITED,"VILLAGE  PATTI MUSALMAN, SECTOR-16",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1210 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1210
29,RERA-PKL-827-2020,VAIKUNTH,HRERA-PKL-SNP-199-2020,PARDESI DEVELOPERS AND INFRASTRUCTURE PVT. LTD.,VILLAGE NAGAL KALAN SECTOR 63,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1290 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1290
30,RERA-PKL-595-2019,"MAPSKO GALLERIA (PROJECT AREA 1.82 ACRES COMMERCIAL, PART OF RESIDENTIAL PLOTTED COLONY)",HRERA-PKL-SNP-72-2018,MAPSKO BUILDERS PVT LTD,SECTOR - 27,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/691 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/691
31,RERA-PKL-903-2021,SHRI RAM RESIDENCY,HRERA-PKL-SNP-252-2021,SANJEEV SARIN AND OTHERS (LICENSEE),SECTOR 2 SONIPAT,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1531 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1531
32,RERA-PKL-626-2019,WHITE LILY RESIDENCY,HRERA-PKL-SNP-198-2020,PARKER VRC INFRASTRUCTURE PRIVATE LIMITED,"SECTOR-27, VILLAGE AHMEDPUR",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/728 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/728
33,RERA-PKL-902-2021,EMPLOYEES ENCLAVE,HRERA-PKL-SNP-229-2021,THE POLICE EMPLOYEES CO-OPERATIVE HOUSE BUILDING SOCIETY LTD.,"SECTOR - 26 SONIPAT, HARYANA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1529 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1529
34,RERA-PKL-898-2021,P. P. GREEN CITY,HRERA-PKL-SNP-228-2021,A P REAL ESTATES,VILLAGE SULTANPUR AND AHMADPUR SECTOR-27,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1522 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1522
35,RERA-PKL-847-2020,"SUSHANT CITY, SONIPAT (3.4187 ACRE PLOTTED)",HRERA-PKL-SNP-212-2020,ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED,"SECTOR -61, 62, 63",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1365 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1365
36,RERA-PKL-846-2020,ANAND LOK (SONIPAT-11.45625 ACRES) DDJAY,HRERA-PKL-SNP-201-2020,ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED,"VILLAGE AKBARPUR BAROTA, JHATERI ROAD, SECTOR 35",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1361 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1361
38,RERA-PKL-353-2018,RANGOLI GREEN,HRERA-PKL-SNP-268-2021,RANGOLI BUILDTECH PVT LTD,PATTI MUSALMAN AND SHAJANPUR SECTOR 16 AND 17 SONEPAT,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/293 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/293
40,RERA-PKL-348-2018,SUSHANT CITY ZONE-1 (20.081 ACRE),HRERA-PKL-SNP-172-2019,ANSAL PROPERITIES AND INFRASTRUCTURE LIMITED,VILLAGE KUNDLI,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/280 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/280
41,RERA-PKL-648-2019,ESPANIA 1,HRERA-PKL-SNP-161-2019,TDI INFRASTRUCTURE LIMITED,SECTOR 19,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/762 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/762
42,RERA-PKL-478-2019,"GREEN ESCAPE (T-18, 19, 26, 27, 28, 31, 32, 36, 37, 38, 39 AND PARTIAL EWS-224 UNITS)",HRERA-PKL-SNP-173-2019,ANSAL PROPERTIES & INFRASTRUCTURE LIMITED,"VILLAGE AKBARPUR BAROTA, JHATERI ROAD, SECTOR 35",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/534 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/534
49,RERA-PKL-452-2019,ESPANIA- 2,HRERA-PKL-SNP-162-2019,TDI INFRASTRUCTURE LIMITED,SECTOR 19,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/498 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/498
56,RERA-PKL-681-2019,SAFFRON ESTATE,HRERA-PKL-SNP-156-2019,SAMYAK PROPERTIES AND INFRASTRUCTURE PRIVATE LIMITED,VILLAGE LIWAN SECTOR 35,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/810 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/810
58,RERA-PKL-703-2019,BLOSSOM PARK AT PARADISE GREENS,HRERA-PKL-SNP-157-2019,PUSHPRATTAN DEVELOPERS PRIVATE LIMITED,"SECTOR -63, TEHSIL RAI & DISTRICT SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/840 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/840
59,RERA-PKL-708-2019,CHITRAKOOT,HRERA-PKL-SNP-164-2019,TDI MANSION PRIVATE LIMITED,"PATLA & NANGAL KALAN, SECTOR-64, SONIPAT, HARYANA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/846 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/846
63,RERA-PKL-114-2018,SAPPHIRE FLOORS AND SAPPHIRE HEIGHTS,HRERA-PKL-SNP-71-2018,KAMAL IDEAL INFRATECH PVT. LTD.,"VILLAGE NAGAL KALAN, SECTOR-64, DISTRICT SONEPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/141 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/141
66,RERA-PKL-307-2018,ELDECO HISTREET-1,HRERA-PKL-SNP-83-2018,MAKSAD ESTATE AND HARDWARE LIMITED,"ELDECO COUNTY, SECTOR-19, G.T.KARNAL ROAD, SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/34 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/34
71,RERA-PKL-423-2019,SECTOR ROAD SCOS,HRERA-PKL-SNP-139-2019,ANSAL PROPERTIES & INFRASTRUCTURE LIMITED,"SECTOR 63, SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/447 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/447
73,RERA-PKL-555-2019,USHAY TOWER,HRERA-PKL-SNP-140-2019,PARDESI DEVELOPERS PRIVATE LIMITED IN COLLABORATION WITH SMT. SUNITA NARULA,"VILLAGE RASOI, SECTOR 61 SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/634 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/634
77,RERA-PKL-880-2020,TULIP CITY,HRERA-PKL-SNP-230-2021,CREATIVE BUILDWELL PVT. LTD.,SECTOR 17 SONIPAT,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1483 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1483
78,RERA-PKL-1044-2022,SHRI GREENS CITY,HRERA-PKL-SNP-309-2022,SMN REALTY LLP,VILLAGE RATHDHANA SECTOR 26 SONEPAT HARYANA,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1927 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1927
79,RERA-PKL-1576-2024,MAJESTIC GREENS-2,HRERA-PKL-SNP-655-2025,NUGRAJ DREAM BUILDERS PRIVATE LIMITED,"VILLAGE BARONA SECTOR 10, KHARKHAUDA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3213 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3213
81,RERA-PKL-1202-2023,SUPERMAX SPITI HOMES,HRERA-PKL-SNP-396-2023,GEMIMI AGROFARMS PRIVATE LIMITED,"SECTOR - 33, SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2303 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2303
83,RERA-PKL-1053-2022,APEX GREEN TOWER 9 & 10,HRERA-PKL-SNP-324-2022,APEX BUILDTECH LIMITED,"VILLAGE KAMASPUR, SECTOR -8",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1942 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1942
84,RERA-PKL-1205-2023,SUPERMAX-THE FLOWER CITY,HRERA-PKL-SNP-395-2023,GEMINI AGROFARMS PRIVATE LIMITED,"SECTOR - 34, SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2307 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2307
85,RERA-PKL-990-2021,IB CITY SONEPAT,HRERA-PKL-SNP-454-2023,INDIABULLS ESTATE LTD,"SECTOR - 26,26 A,33 & 34, VILLAGE RATHDHANA, SONIPAT, HARYANA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1805 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1805
86,RERA-PKL-1359-2023,ELDECO AMOR,HRERA-PKL-SNP-527-2023,ELDECO INFRACON REALTORS LIMITED,SONIPAT,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2659 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2659
88,RERA-PKL-1281-2023,ELDECO AMAYA,HRERA-PKL-SNP-496-2023,ELDECO GREEN PARK INFRSTRUCTURE LIMITED,SONIPAT,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2491 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2491
89,RERA-PKL-1125-2022,RISHIKA GREENS,HRERA-PKL-SNP-361-2022,RISHIKA CONSTRUCTIONS LLP,SECTOR 10,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2105 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2105
90,RERA-PKL-1153-2022,SONIPAT GLOBAL INDUSTRIAL TOWNSHIP,HRERA-PKL-SNP-393-2023,SYSCOM EDUTECH PRIVATE LIMITED,VILLAGE DEVRU & JAWAHAI,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2170 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2170
92,RERA-PKL-1047-2022,GLOBAL GREEN RESIDENCY,HRERA-PKL-SNP-331-2022,JINDAL REALTY LIMITED,SECTOR 33,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1931 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1931
93,RERA-PKL-1734-2025,RRITAM PEACE VALLEY,HRERA-PKL-SNP-741-2025,RRITAM REALITY LLP,SECTOR 80 VILLAGE BAHALGARH,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3547 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3547
94,RERA-PKL-1737-2025,NV CITY- I,HRERA-PKL-SNP-853-2026,SNPC RESIDENCY LIMITED,"PIPLI SECTOR 6, KHARKHODA",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3551 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3551
95,RERA-PKL-916-2021,SHRI RAM RESIDENCY,HRERA-PKL-SNP-251-2021,SUNFROST FROZEN FOODS LLP,SECTOR 2,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1576 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1576
98,RERA-PKL-1002-2021,INDUSTRIAL MODEL TOWNSHIP KHARKHODA,HRERA-PKL-SNP-441-2023,HARYANA STATE INDUSTRIAL & INFRASTRUCTURE DEVELOPMENT CORPORATION,IMT KHARKHODA,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1827 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1827
99,RERA-PKL-1093-2022,ULTIMA GLOBAL SQUARE,HRERA-PKL-SNP-340-2022,M/S. ULTIMA REALTY,"VILLAGE RATHDHANA, SECTOR- 35",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2037 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2037
100,RERA-PKL-1134-2022,ROF I CITY,HRERA-PKL-SNP-363-2022,ROF HOUSING AND INFRASTRUCTURE PRIVATE LIMITED,VILLAGE-MURTHAL,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2122 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2122
101,RERA-PKL-1080-2022,TULIP CITY PHASE-III,HRERA-PKL-SNP-409-2023,SHREE BANKE BIHARI HEALTHCARE LLP,"VILLAGE REVLI, SECTOR-17, SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1998 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1998
102,RERA-PKL-944-2021,EXPRESS ENCLAVE,HRERA-PKL-SNP-273-2021,EXPRESS PROJECTS PRIVATE LIMITED,"SECTOR 35, SONIPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1663 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1663
103,RERA-PKL-945-2021,SONIPAT GLOBAL INDUSTRIAL TOWNSHIP,HRERA-PKL-SNP-280-2021,SYSCOM EDUTECH PRIVATE LIMITED,VILLAGE DEVRU & JAWAHAI,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1665 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1665
104,RERA-PKL-1573-2024,SIDDHARTHA DEVELOPERS,HRERA-PKL-SNP-648-2025,SIDDHARTHA DEVELOPERS,VILLAGE KHAKHAUDA-2 ANDZIADINPUR,SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3204 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3204
105,RERA-PKL-946-2021,SOUTH CITY,HRERA-PKL-SNP-256-2021,NEW ERA INFRASTRUCTURE PRIVATE LIMITED,"VILLAGE AHMADPUR, SECTOR-27",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1666 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1666
