developer_key,promoter_names,n_projects,projects,reg_numbers
Y P INFRATECH,Y P INFRATECH PRIVATE LIMITED | Y P INFRATECH PVT. LTD.,2,ELITE HOMES+O2 HOME | GLOBUS INDUSTRIAL TOWNSHIP,HRERA-PKL-SNP-431-2023 | HRERA-PKL-SNP-548-2024
MANSHA BUILDCON,MANSHA BUILDCON PVT. LTD.,2,AAGMAN | MANSHA HERITAGE,HRERA-PKL-SNP-588-2024 | HRERA-PKL-SNP-775-2025
SKYLARK FLYING REAL ESTATE,SKYLARK FLYING REAL ESTATE PRIVATE LIMITED,2,GOKUL ESTATE | GOKUL GREEN,HRERA-PKL-SNP-434-2023 | HRERA-PKL-SNP-617-2024
M SHRI RAM SHARANAM CONSULTANT,M/S SHRI RAM SHARANAM CONSULTANTS PVT. LTD.,2,CRAFT HOMES | CRAFT RESIDENCIES,HRERA-PKL-SNP-537-2024 | HRERA-PKL-SNP-662-2025
GPB TRADING,GPB TRADING LLP,2,P P GALLERIA 1 | P P GREEN CITY-2,HRERA-PKL-SNP-526-2023 | HRERA-PKL-SNP-851-2026
MAXHEIGHT TOWNSHIP PROJECT,MAXHEIGHTS TOWNSHIP AND PROJECTS PVT. LTD.,1,METRO VIEW,314 OF 2017 DATED 17.10.2017
MAXHEIGHT PROMETER,MAXHEIGHTS PROMETERS  PVT. LTD.,1,AFFORDABLE GROUP HOUSING PROJECT   ON 5 ACRES,334 OF 2017 DATED 24.10.2017
TDI INFRACORP,TDI INFRACORP(INDIA) LIMITED,1,"WATER SIDE LFLOORS, LAKE DRIVE, LAKE SIDE HEIGHTS, EWS",43 OF 2017 DATED 11.08.2017
AAKARSHAK REALATOR,AAKARSHAK REALATORS PVT. LTD.,1,WHITE LILY,HRERA-PKL-SNP-2-2018
SUPER MAX AFFORDABLE HOUSING,SUPER MAX AFFORDABLE HOUSING PVT. LTD.,1,AFFORDABLE GROUP HOUSING COLONY  ON 5 ACRES,343 OF 2017 DATED 27.10.2017
JAI KRISHNA ARTEC J V,JAI KRISHNA ARTEC J.V,1,GREEN WOOD CITY A PLOTTED COLONY ON AREA 137.55 ACRES,HRERA-PKL-SNP-15-2018 DATED: 12-06-2018
PARILOK REAL ESTATE,PARILOK REAL ESTATES PRIVATE LIMITED,1,AMBER PARK AT PARADISE GREENS,HRERA-PKL-SNP-123-2019
J BROADCASTING,J S BROADCASTING PRIVATE LIMITED,1,CORAL PARK AT PARADISE GREENS,HRERA-PKL-SNP-133-2019
SANA REALTOR,SANA REALTORS PRIVATE LIMITED,1,CONNAUGHT STREET,HRERA-PKL-SNP-197-2020
PARDESI DEVELOPER INFRASTRUCTURE,PARDESI DEVELOPERS AND INFRASTRUCTURE PVT. LTD.,1,VAIKUNTH,HRERA-PKL-SNP-199-2020
SANJEEV SARIN OTHER LICENSEE,SANJEEV SARIN AND OTHERS (LICENSEE),1,SHRI RAM RESIDENCY,HRERA-PKL-SNP-252-2021
PARKER VRC INFRASTRUCTURE,PARKER VRC INFRASTRUCTURE PRIVATE LIMITED,1,WHITE LILY RESIDENCY,HRERA-PKL-SNP-198-2020
THE POLICE EMPLOYEE OPERATIVE HOUSE BUILDING SOCIETY,THE POLICE EMPLOYEES CO-OPERATIVE HOUSE BUILDING SOCIETY LTD.,1,EMPLOYEES ENCLAVE,HRERA-PKL-SNP-229-2021
A P REAL ESTATE,A P REAL ESTATES,1,P. P. GREEN CITY,HRERA-PKL-SNP-228-2021
RANGOLI BUILDTECH,RANGOLI BUILDTECH PVT LTD,1,RANGOLI GREEN,HRERA-PKL-SNP-268-2021
ANSAL PROPERITIE INFRASTRUCTURE,ANSAL PROPERITIES AND INFRASTRUCTURE LIMITED,1,SUSHANT CITY ZONE-1 (20.081 ACRE),HRERA-PKL-SNP-172-2019
SAMYAK PROPERTIE INFRASTRUCTURE,SAMYAK PROPERTIES AND INFRASTRUCTURE PRIVATE LIMITED,1,SAFFRON ESTATE,HRERA-PKL-SNP-156-2019
PUSHPRATTAN DEVELOPER,PUSHPRATTAN DEVELOPERS PRIVATE LIMITED,1,BLOSSOM PARK AT PARADISE GREENS,HRERA-PKL-SNP-157-2019
TDI MANSION,TDI MANSION PRIVATE LIMITED,1,CHITRAKOOT,HRERA-PKL-SNP-164-2019
KAMAL IDEAL INFRATECH,KAMAL IDEAL INFRATECH PVT. LTD.,1,SAPPHIRE FLOORS AND SAPPHIRE HEIGHTS,HRERA-PKL-SNP-71-2018
MAKSAD ESTATE HARDWARE,MAKSAD ESTATE AND HARDWARE LIMITED,1,ELDECO HISTREET-1,HRERA-PKL-SNP-83-2018
PARDESI DEVELOPER IN COLLABORATION WITH SMT SUNITA NARULA,PARDESI DEVELOPERS PRIVATE LIMITED IN COLLABORATION WITH SMT. SUNITA NARULA,1,USHAY TOWER,HRERA-PKL-SNP-140-2019
SMN REALTY,SMN REALTY LLP,1,SHRI GREENS CITY,HRERA-PKL-SNP-309-2022
GEMIMI AGROFARM,GEMIMI AGROFARMS PRIVATE LIMITED,1,SUPERMAX SPITI HOMES,HRERA-PKL-SNP-396-2023
APEX BUILDTECH,APEX BUILDTECH LIMITED,1,APEX GREEN TOWER 9 & 10,HRERA-PKL-SNP-324-2022
GEMINI AGROFARM,GEMINI AGROFARMS PRIVATE LIMITED,1,SUPERMAX-THE FLOWER CITY,HRERA-PKL-SNP-395-2023
RISHIKA CONSTRUCTION,RISHIKA CONSTRUCTIONS LLP,1,RISHIKA GREENS,HRERA-PKL-SNP-361-2022
RRITAM REALITY,RRITAM REALITY LLP,1,RRITAM PEACE VALLEY,HRERA-PKL-SNP-741-2025
SNPC RESIDENCY,SNPC RESIDENCY LIMITED,1,NV CITY- I,HRERA-PKL-SNP-853-2026
SUNFROST FROZEN FOOD,SUNFROST FROZEN FOODS LLP,1,SHRI RAM RESIDENCY,HRERA-PKL-SNP-251-2021
HARYANA STATE INDUSTRIAL INFRASTRUCTURE DEVELOPMENT CORPORATION,HARYANA STATE INDUSTRIAL & INFRASTRUCTURE DEVELOPMENT CORPORATION,1,INDUSTRIAL MODEL TOWNSHIP KHARKHODA,HRERA-PKL-SNP-441-2023
M ULTIMA REALTY,M/S. ULTIMA REALTY,1,ULTIMA GLOBAL SQUARE,HRERA-PKL-SNP-340-2022
ROF HOUSING INFRASTRUCTURE,ROF HOUSING AND INFRASTRUCTURE PRIVATE LIMITED,1,ROF I CITY,HRERA-PKL-SNP-363-2022
SHREE BANKE BIHARI HEALTHCARE,SHREE BANKE BIHARI HEALTHCARE LLP,1,TULIP CITY PHASE-III,HRERA-PKL-SNP-409-2023
EXPRES PROJECT,EXPRESS PROJECTS PRIVATE LIMITED,1,EXPRESS ENCLAVE,HRERA-PKL-SNP-273-2021
