FileNo,ReceiptDate,Purpose,Area_acre,DevPlanRaw,Sector,Developer
LC-5902A,16/03/2026,COMMERCIAL PLOTTED COLONY,3.10625,SONIPAT,81,HRM Township LLP
LC-5903A,17/03/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.3937,KHARKHAUDA,02,Ramville Buildcon LLP
LC-5904A,17/03/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.1625,KHARKHAUDA,11,JSSR Realtors and Developers Pvt. Ltd.
LC-5906A,19/03/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.0017,KHARKHAUDA,11A,Omkareshwar Buildcon
LC-5911A,20/03/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,9.06875,KHARKHAUDA,NA,Nira Estates and Developers LLP
LC-5916A,01/04/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.275,SONIPAT,NA,Jeevansukh Reality LLP
LC-5919A,08/04/2026,RESIDENTIAL GROUP HOUSING,0.36875,SONIPAT,64,Kamal Ideal Infratech P Ltd
LC-5925A,16/04/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.4125,SONIPAT,16,Mera Baba Real Estate Pvt. Ltd.
LC-5926A,16/04/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.15,SONIPAT,80,HRP RESORTS LLP
LC-5937A,27/04/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.70625,SONIPAT,84,BANKEY INFRATECH LLP
LC-5950A,12/05/2026,RETIREMENT HOUSING PROJECT,2.35625,SONIPAT,61,Pitrashish Infracon Pvt.Ltd.
LC-5951A,08/05/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.01,KHARKHAUDA,NA,Dharamansa Buildtech Pvt. Ltd.
LC-5952A,13/05/2026,RESIDENTIAL GROUP HOUSING,10.05625,SONIPAT,33,JIndal Realty Ltd
LC-5955A,14/05/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.60625,SONIPAT,NA,Tycoon Real Estate LLP
LC-5960A,15/05/2026,COMMERCIAL LICENCE IN RESIDENTIAL ZONE,2.83125,SONIPAT,83,Phagu Resort Pvt. Ltd. a
LC-5961A,15/05/2026,COMMERCIAL PLOTTED COLONY,2.1375,SONIPAT,84,BANKEY INFRATECH LLP
LC-5964A,15/05/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.04062,KHARKHAUDA,02,H2H Infra Estate LLP
LC-5967A,25/05/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,12.775,SONIPAT,24,Cityroyal Abodes LLP
LC-5969A,27/05/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.0625,SONIPAT,87,SANTUR CITY PVT. LTD.
LC-5981A,19/06/2026,RESIDENTIAL PLOTTED COLONY,9.1875,SONIPAT,34,SHUBH ASHOK INFRA GROW LLP
LC-5987A,25/06/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.9895,SONIPAT,NA,Surya Infrapride LLP
LC-5993A,10/07/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.6375,SONIPAT,71,ALORA REALTY LLP
LC-5999A,15/07/2026,COMMERCIAL PLOTTED COLONY,2.0625,SONIPAT,81,Bhawan Singh
LC-6002A,15/07/2026,COMMERCIAL PLOTTED COLONY,2.3813,SONIPAT,27,Pinecrest Buildwell LLP
LC-6012A,21/07/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,14.702,SONIPAT,87,Om Shivay Sonipat Realtors Pvt. Ltd.
LC-6014A,23/07/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.01041,SONIPAT,NA,Sector 92 Estates LLP
LC-6016A,28/07/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,16.85,SONIPAT,24,Legacy Luxe Infra Pvt Ltd
LC-6018A,29/07/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,8.9532,SONIPAT,34,Samyak Properties and Infrastructure Pvt. Ltd.
LC-6019A,28/07/2026,RESIDENTIAL PLOTTED COLONY,43.86875,SONIPAT,81,AKR TRADERS LLP
LC-6030A,20/08/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.2,SONIPAT,NA,SMT. KANTA RANI WO MR. SUNIL KUMAR
LC-840B,24/07/2013,RESIDENTIAL PLOTTED COLONY,14.14,SONIPAT,7 & 13,Rama Krishana Buildwell Pvt. Ltd.
LC-850A,03/03/2006,RESIDENTIAL GROUP HOUSING,12,SONIPAT,2,Gulia Construction
