LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,Sector,Developer,ValidUpto,licence_active,match_status,match_score,match_why,rera_project,rera_reg_no,rera_promoter
94 OF 2026,14/05/2026,IPA,5.45,Sonipat,NA,SYSCOM EDUTECH PRIVATE LIMITED,13/05/2031,True,DEV-MATCH,100,name=100,SONIPAT GLOBAL INDUSTRIAL TOWNSHIP,HRERA-PKL-SNP-393-2023,SYSCOM EDUTECH PRIVATE LIMITED
37 OF 2021,16/07/2021,DDJAY-APHP,5.456,Sonipat,27,New Era Infrastructure Pvt. Ltd.,15/07/2026,False,PARCEL-MATCH,100,name=100+sector,SOUTH CITY,HRERA-PKL-SNP-256-2021,NEW ERA INFRASTRUCTURE PRIVATE LIMITED
48 OF 2021,11/08/2021,DDJAY-APHP,11.79375,Sonipat,35,Express Project Pvt Ltd,10/08/2026,False,PARCEL-MATCH,100,name=100+sector,EXPRESS ENCLAVE,HRERA-PKL-SNP-273-2021,EXPRESS PROJECTS PRIVATE LIMITED
33 OF 2022,30/03/2022,DDJAY-APHP,5.76875,Sonipat,26,SMN REALTY LLP,29/03/2027,True,PARCEL-MATCH,100,name=100+sector,SHRI GREENS CITY,HRERA-PKL-SNP-309-2022,SMN REALTY LLP
37 OF 2022,07/04/2022,DDJAY-APHP,5.006,Sonipat,33,Jindal Realty Pvt Ltd,06/04/2027,True,PARCEL-MATCH,100,name=100+sector,SONEPAT GLOBAL CITY,261 OF 2017 DATED 03.10.2017,JINDAL REALTY PVT. LTD.
52 OF 2022,06/05/2022,DDJAY-APHP,21.28125,Sonipat,17,Creative Buildwell Pvt. Ltd,05/05/2027,True,PARCEL-MATCH,100,name=100+sector,TULIP CITY,HRERA-PKL-SNP-230-2021,CREATIVE BUILDWELL PVT. LTD.
53 OF 2022,06/05/2022,IPL,33.75,Sonipat,26,ROF Infratech and Housing Pvt. Ltd.,05/05/2027,True,WEAK,82,name=82,SAPPHIRE FLOORS AND SAPPHIRE HEIGHTS,HRERA-PKL-SNP-71-2018,KAMAL IDEAL INFRATECH PVT. LTD.
67 OF 2022,26/05/2022,DDJAY-APHP,5.02083,Sonipat,15,Rahul Mangla Food Processing & Cold Storage P. Ltd,25/05/2027,True,DEV-MATCH,100,name=100,SIDDHARTHA RESIDENCY,HRERA-PKL-SNP-411-2023,RAHUL MANGLA FOOD PROCESSING & COLD STORAGE PRIVATE LIMITED
85 OF 2022,06/07/2022,DDJAY-APHP,19.7375,Sonipat,10,Rishika Construction LLP,05/07/2027,True,PARCEL-MATCH,100,name=100+sector,RISHIKA GREENS,HRERA-PKL-SNP-361-2022,RISHIKA CONSTRUCTIONS LLP
98 OF 2022,15/07/2022,RPL,6.7875,Sonipat,27,Mapsko Builders Pvt. Ltd.,14/07/2027,True,PARCEL-MATCH,100,name=100+sector,"MAPSKO GALLERIA (PROJECT AREA 1.82 ACRES COMMERCIAL, PART OF RESIDENTIAL PLOTTED COLONY)",HRERA-PKL-SNP-72-2018,MAPSKO BUILDERS PVT LTD
110 OF 2022,10/08/2022,DDJAY-APHP,48.0125,Sonipat,34,Oasis Landmarks LLP,09/08/2027,True,PARCEL-MATCH,100,name=100+sector,GODREJ GREEN ESTATE,HRERA-PKL-SNP-348-2022,OASIS LANDMARKS LLP
119 OF 2022,16/08/2022,DDJAY-APHP,18.44375,Sonipat,10 & 11,BGCC DEVELOPERS PRIVATE LIMITED,15/08/2027,True,PARCEL-MATCH,100,name=100+sector,GOPAL ENCLAVE,HRERA-PKL-SNP-399-2023,BGCC DEVELOPERS PRIVATE LIMITED
146 OF 2022,28/09/2022,DDJAY-APHP,5.645,Sonipat,33,Samyak Properties and Infrastructure Pvt. Ltd.,27/09/2027,True,PARCEL-MATCH,100,name=100+sector,SAFFRON GRAND,HRERA-PKL-SNP-388-2022,M/S. SAMYAK PROPERTIES AND INFRASTRUCTURE PRIVATE LIMITED
180 OF 2022,09/11/2022,DDJAY-APHP,6.5375,Sonipat,34,Gemini Agrofarms Private Limited,08/11/2027,True,PARCEL-MATCH,100,name=100+sector,SUPERMAX-THE FLOWER CITY,HRERA-PKL-SNP-395-2023,GEMINI AGROFARMS PRIVATE LIMITED
181 OF 2022,09/11/2022,DDJAY-APHP,5.95625,Sonipat,33,Gemini Agrofarms Private Limited,08/11/2027,True,PARCEL-MATCH,93,name=93+sector,SUPERMAX SPITI HOMES,HRERA-PKL-SNP-396-2023,GEMIMI AGROFARMS PRIVATE LIMITED
203 OF 2022,08/12/2022,DDJAY-APHP,7.30625,Sonipat,27,Jai Krishna Artec JV,07/12/2027,True,DEV-MATCH,98,name=98,GREEN WOOD CITY A PLOTTED COLONY ON AREA 137.55 ACRES,HRERA-PKL-SNP-15-2018 DATED: 12-06-2018,JAI KRISHNA ARTEC J.V
207 OF 2022,15/12/2022,DDJAY-APHP,16.4875,Sonipat,35,Mapsko Builders Pvt. Ltd.,14/12/2027,True,PARCEL-MATCH,100,name=100+sector,MAPSKO ASPR GREENZ,HRERA-PKL-SNP-397-2023,MAPSKO BUILDERS PVT LTD
36 OF 2024,07/03/2024,DDJAY-APHP,6.81875,Sonipat,35,Mapsko Builders Pvt. Ltd.,06/03/2029,True,PARCEL-MATCH,100,name=100+sector,MAPSKO ASPR GREENZ,HRERA-PKL-SNP-397-2023,MAPSKO BUILDERS PVT LTD
06 OF 2023,06/01/2023,DDJAY-APHP,15.401,Kharkhauda,02,Nextra Developers LLP,05/01/2028,True,DEV-MATCH,100,name=100,NEXTRA DEVELOPERS LLP,35 OF 2017 DATED 07.08.2017,NEXTRA DEVELOPERS LLP
31 OF 2023,10/02/2023,DDJAY-APHP,6.34375,Sonipat,27,Shri Ram Sharanam Consultants Pvt. Ltd.,09/02/2028,True,PARCEL-MATCH,100,name=100+sector,CRAFT RESIDENCIES,HRERA-PKL-SNP-662-2025,M/S SHRI RAM SHARANAM CONSULTANTS PVT. LTD.
46 OF 2023,02/03/2023,IPA,11.8375,Kharkhauda,NA,Y.P. Infratech Pvt. Ltd.,01/03/2028,True,DEV-MATCH,100,name=100,GLOBUS INDUSTRIAL TOWNSHIP,HRERA-PKL-SNP-431-2023,Y P INFRATECH PRIVATE LIMITED
53 OF 2023,14/03/2023,DDJAY-APHP,5.05625,Sonipat,35,Skylark Flying Real Estate Pvt. Ltd.,13/03/2028,True,PARCEL-MATCH,100,name=100+sector,GOKUL GREEN,HRERA-PKL-SNP-434-2023,SKYLARK FLYING REAL ESTATE PRIVATE LIMITED
64 OF 2023,29/03/2023,CPL,2.3,Sonipat,16,SNB Reality Private Limited,28/03/2028,True,PARCEL-MATCH,100,name=100+sector,RISHIKA COMMERCIAL SQUARE,HRERA-PKL-SNP-481-2023,SNB REALITY PRIVATE LIMITED
76 OF 2023,07/04/2023,DDJAY-APHP,15.40625,Kharkhauda,2A,Sh. Narendra Gehlaut,06/04/2028,True,UNMATCHED,0,,,,
89 OF 2023,19/04/2023,DDJAY-APHP,5.6125,Sonipat,34,Ram Setu Buildwell Pvt. Ltd.,18/04/2028,True,PARCEL-MATCH,100,name=100+sector,ORANGE CITY,HRERA-PKL-SNP-491-2023,RAM SETU BUILDWELL PRIVATE LIMITED
94 OF 2023,27/04/2023,IPL,25.34347,Sonipat,47,SPJ Promoters Pvt. Ltd.,26/04/2028,True,PARCEL-MATCH,100,name=100+sector,ARORA INDUSTRIAL PARK,HRERA-PKL-SNP-506-2023,SPJ PROMOTERS PRIVATE LIMITED
44 OF 2025,28/03/2025,IPL,4.18125,Sonipat,47,SPJ Promoters Pvt. Ltd.,27/03/2030,True,PARCEL-MATCH,100,name=100+sector,ARORA INDUSTRIAL PARK,HRERA-PKL-SNP-506-2023,SPJ PROMOTERS PRIVATE LIMITED
99 OF 2023,08/05/2023,DDJAY-APHP,12.15625,Sonipat,17,Jindal Infrabuild Pvt ltd,07/05/2028,True,DEV-MATCH,100,name=100,SONEPAT GLOBAL CITY,261 OF 2017 DATED 03.10.2017,JINDAL REALTY PVT. LTD.
102 OF 2023,09/05/2023,DDJAY-APHP,5.06875,Sonipat,58,AT EDUCON Pvt. Ltd.,08/05/2028,True,PARCEL-MATCH,100,name=100+sector,RISHIKA ESTATE,HRERA-PKL-SNP-490-2023,AT EDUCON PRIVATE LIMITED
109 OF 2023,17/05/2023,DDJAY-APHP,14.20625,Sonipat,33,Eldeco Green Park Infrastructure Ltd.,16/05/2028,True,DEV-MATCH,100,name=100,ELDECO AMAYA,HRERA-PKL-SNP-496-2023,ELDECO GREEN PARK INFRSTRUCTURE LIMITED
128 OF 2023,16/06/2023,RPL,95.2625,Sonipat,34,Jindal Realty Pvt Ltd,15/06/2028,True,PARCEL-MATCH,100,name=100+sector,JINDAL SMART CITY,HRERA-PKL-SNP-499-2023,JINDAL REALTY LIMITED
140 OF 2023,06/07/2023,DDJAY-APHP,16.96875,Sonipat,92,Grand Imperial Developers LLP,05/07/2028,True,PARCEL-MATCH,100,name=100+sector,JOY CITY,HRERA-PKL-SNP-497-2023,GRAND IMPERIAL DEVELOPERS LLP
149 OF 2023,18/07/2023,DDJAY-APHP,30.4125,Sonipat,NA,GPB Trading LLP,17/07/2028,True,DEV-MATCH,100,name=100,P P GREEN CITY-2,HRERA-PKL-SNP-526-2023,GPB TRADING LLP
150 OF 2023,20/07/2023,DDJAY-APHP,20.56875,Sonipat,33,Jai Krishna Artec JV,19/07/2028,True,DEV-MATCH,98,name=98,GREEN WOOD CITY A PLOTTED COLONY ON AREA 137.55 ACRES,HRERA-PKL-SNP-15-2018 DATED: 12-06-2018,JAI KRISHNA ARTEC J.V
165 OF 2023,21/08/2023,DDJAY-APHP,12.25625,Sonipat,26A,Kairav Infrastructure pvt ltd.,20/08/2028,True,PARCEL-MATCH,100,name=100+sector,MAPSKO GARDENIA,HRERA-PKL-SNP-522-2023,KAIRAV INFRASTRUCTURE PRIVATE LIMITED
174 OF 2023,31/08/2023,DDJAY-APHP,6.0625,Sonipat,88,Mathur Developers and Infrastructures Pvt. Ltd.,30/08/2028,True,DEV-MATCH,100,name=100,BLUE DIAMOND  RESIDENCY,HRERA-PKL-SNP-542-2024,M/S MATHUR DEVELOPERS & INFRASTRUCTURES PRIVATE LIMITED
181 OF 2023,11/09/2023,DDJAY-APHP,16.31875,Sonipat,33,Eldeco Infracon Realtors Limited,10/09/2028,True,DEV-MATCH,100,name=100,ELDECO AMOR,HRERA-PKL-SNP-527-2023,ELDECO INFRACON REALTORS LIMITED
206 OF 2023,10/10/2023,DDJAY-APHP,12.925,Sonipat,19,SC Hotels and Resorts Pvt. Ltd.,09/10/2028,True,DEV-MATCH,100,name=100,KATYAL RAMAYA,HRERA-PKL-SNP-623-2024,SC HOTELS AND RESORTS PVT LTD
207 OF 2023,13/10/2023,RPL,24.78125,Sonipat,35,Express Projects (P) Ltd,12/10/2028,True,PARCEL-MATCH,100,name=100+sector,EXPRESS ENCLAVE,HRERA-PKL-SNP-273-2021,EXPRESS PROJECTS PRIVATE LIMITED
218 OF 2023,23/10/2023,IPA,13.3125,Kharkhauda,NA,Mahadev United Infrastructure Pvt. Ltd.,22/10/2028,True,DEV-MATCH,100,name=100,MAHADEV INDUSTRIAL TOWNSHIP (MIT),HRERA-PKL-SNP-559-2024,MAHADEV UNITED INFRASTRUCTURE PVT. LTD.
76 OF 2025,26/05/2025,IPA,12.1125,Kharkhauda,NA,Mahadev United Infrastructure Pvt. Ltd.,25/05/2030,True,DEV-MATCH,100,name=100,MAHADEV INDUSTRIAL TOWNSHIP (MIT),HRERA-PKL-SNP-559-2024,MAHADEV UNITED INFRASTRUCTURE PVT. LTD.
225 OF 2025,14/11/2025,IPA,13.9125,Kharkhauda,NA,Mahadev United Infrastructure Pvt. Ltd.,13/11/2030,True,DEV-MATCH,100,name=100,MAHADEV INDUSTRIAL TOWNSHIP (MIT),HRERA-PKL-SNP-559-2024,MAHADEV UNITED INFRASTRUCTURE PVT. LTD.
243 OF 2023,10/11/2023,DDJAY-APHP,9.98177,Sonipat,24,Y.P. Infratech Pvt. Ltd.,09/11/2028,True,PARCEL-MATCH,100,name=100+sector,ELITE HOMES+O2 HOME,HRERA-PKL-SNP-548-2024,Y P INFRATECH PVT. LTD.
