LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,Sector,Developer,ValidUpto,licence_active,match_status,match_score,match_why,rera_project,rera_reg_no,rera_promoter
92 OF 2025,05/06/2025,DDJAY-APHP,15.5,Kharkhauda,7,Vishuv Projects LLP,04/06/2030,True,UNMATCHED,0,,,,
101 OF 2025,17/06/2025,DDJAY-APHP,9.50625,Kharkhauda,6,SNPC Residency Limited,16/06/2030,True,PARCEL-MATCH,100,name=100+sector,NV CITY- I,HRERA-PKL-SNP-853-2026,SNPC RESIDENCY LIMITED
254 OF 2025,22/12/2025,DDJAY-APHP,16.6,Kharkhauda,6,SNPC Residency Limited,21/12/2030,True,PARCEL-MATCH,100,name=100+sector,NV CITY- I,HRERA-PKL-SNP-853-2026,SNPC RESIDENCY LIMITED
107 OF 2025,27/06/2025,DDJAY-APHP,5.425,Kharkhauda,7,KK Dhanuka Estates Private Limited,26/06/2030,True,DEV-MATCH,100,name=100,AARAMBH GREENS,HRERA-PKL-SNP-869-2026,KK DHANUKA ESTATES PVT LTD
02 OF 2026,06/01/2026,DDJAY-APHP,5.76875,Kharkhauda,7,KK Dhanuka Estates Private Limited,05/01/2031,True,DEV-MATCH,100,name=100,AARAMBH GREENS,HRERA-PKL-SNP-869-2026,KK DHANUKA ESTATES PVT LTD
135 OF 2025,05/08/2025,DDJAY-APHP,5.425,Kharkhauda,6,M/s Arveen Buildestate LLP,04/08/2030,True,PARCEL-MATCH,75,name=75+sector,SKYMARX HORIZON ONE,HRERA-PKL-SNP-797-2025,ARVEEN BUILD ESTATE LLP
140 OF 2025,08/08/2025,IPA,20.2875,Sonipat,NA,Rritam Developers LLP,07/08/2030,True,DEV-MATCH,100,name=100,RRITAM PEACE VALLEY,HRERA-PKL-SNP-741-2025,RRITAM REALITY LLP
153 OF 2025,25/08/2025,RPL,52.57,Sonipat,91,One Prastha Realty LLP,24/08/2030,True,PARCEL-MATCH,100,name=100+sector,THE ELITE RESIDENCES BY ONE PRASTHA,HRERA-PKL-SNP-785-2025,ONE PRASTHA REALTY LLP
146 OF 2026,16/07/2026,RPL,6,Sonipat,91,One Prastha Realty LLP,15/07/2031,True,PARCEL-MATCH,100,name=100+sector,THE ELITE RESIDENCES BY ONE PRASTHA,HRERA-PKL-SNP-785-2025,ONE PRASTHA REALTY LLP
161 OF 2025,03/09/2025,DDJAY-APHP,10.8472,Kharkhauda,6,Rishabh Residency LLP,02/09/2030,True,PARCEL-MATCH,100,name=100+sector,NV CITY,HRERA-PKL-SNP-835-2026,RISHABH RESIDENCYLLP
167 OF 2025,05/09/2025,IPA,11.10625,Kharkhauda,NA,V3H Associates,04/09/2030,True,UNMATCHED,0,,,,
169 OF 2025,08/09/2025,RPL,30.9375,Sonipat,35,Soha Developers Pvt. Ltd.,07/09/2030,True,PARCEL-MATCH,100,name=100+sector,ARCONIA CITY,HRERA-PKL-SNP-802-2025,SOHA DEVELOPERS PRIVATE LIMITED
29 OF 2026,17/02/2026,RPL,6.35,Sonipat,35,Soha Developers Pvt. Ltd.,16/02/2031,True,PARCEL-MATCH,100,name=100+sector,ARCONIA CITY,HRERA-PKL-SNP-802-2025,SOHA DEVELOPERS PRIVATE LIMITED
179 OF 2025,18/09/2025,DDJAY-APHP,6.8,Sonipat,26A,Ms Ujala Buildwell LLP,17/09/2030,True,UNMATCHED,0,,,,
180 OF 2025,18/09/2025,DDJAY-APHP,8.34375,Kharkhauda,7,JAGRAMM INFRATECH LLP,17/09/2030,True,PARCEL-MATCH,100,name=100+sector,ALAN CITY,HRERA-PKL-SNP-803-2025,M/S JAGRAMM INFRATECH LLP
199 OF 2025,15/10/2025,DDJAY-APHP,13.75,Sonipat,70,Surepass Infra LLP,14/10/2030,True,PARCEL-MATCH,100,name=100+sector,ROYAL GREEN COUNTY THE SELECT,HRERA-PKL-SNP-862-2026,SUREPASS INFRA LLP
200 OF 2025,15/10/2025,CPL,3.925,Sonipat,84,M/s Shehanshah Buildwell LLP,14/10/2030,True,UNMATCHED,0,,,,
207 OF 2025,16/10/2025,IPA,10.8625,Kharkhauda,NA,Benisons Homes LLP,15/10/2030,True,DEV-MATCH,100,name=100,NUGRAJ INDUSTRIAL PARK,HRERA-PKL-SNP-928-2026,BENISONS HOMES LLP
226 OF 2025,17/11/2025,CPL,3.693,Sonipat,35,Super Max Affordable Housing Pvt. Ltd.,16/11/2030,True,DEV-MATCH,100,name=100,AFFORDABLE GROUP HOUSING COLONY  ON 5 ACRES,343 OF 2017 DATED 27.10.2017,SUPER MAX AFFORDABLE HOUSING PVT. LTD.
233 OF 2025,27/11/2025,RHP,0.75,Sonipat,35,AJAY KUMAR,26/11/2030,True,UNMATCHED,0,,,,
237 OF 2025,01/12/2025,DDJAY-APHP,6.53125,Sonipat,41,LANDLORD DEVELOPERS PVT. LTD.,30/11/2030,True,PARCEL-MATCH,100,name=100+sector,METRO CITY,HRERA-PKL-SNP-878-2026,M/S LANDLORD DEVELOPERS PVT. LTD.
238 OF 2025,01/12/2025,DDJAY-APHP,12.61875,Kharkhauda,11,NATURE EARTH KHARKHODA LLP,30/11/2030,True,PARCEL-MATCH,100,name=100+sector,RUDRA COUNTY,HRERA-PKL-SNP-890-2026,NATURE EARTH KHARKHODA LLP
244 OF 2025,05/12/2025,DDJAY-APHP,5.75625,Sonipat,33,Mrida Express City LLP,04/12/2030,True,PARCEL-MATCH,100,name=100+sector,AVANI EXPERIA,HRERA-PKL-SNP-855-2026,MRIDA EXPRESS CITY LLP
253 OF 2025,22/12/2025,DDJAY-APHP,5.73125,Sonipat,91,Sonipat Devru Ventures LLP,21/12/2030,True,PARCEL-MATCH,100,name=100+sector,THE ELITE ADDRESS,HRERA-PKL-SNP-899-2026,SONIPAT DEVRU VENTURES LLP
255 OF 2025,23/12/2025,DDJAY-APHP,11.3375,Sonipat,61,Parker Infrastructure Pvt Ltd,22/12/2030,True,PARCEL-MATCH,100,name=100+sector,PARKER NIKETAN,HRERA-PKL-SNP-877-2026,PARKER INFRASTRUCTURE PRIVATE LIMITED
262 OF 2025,29/12/2025,DDJAY-APHP,5.33125,Sonipat,2,Uniliance Private Limited,28/12/2030,True,PARCEL-MATCH,100,name=100+sector,SHREE RAM RESIDENCY,HRERA-PKL-SNP-926-2026,UNILIANCE PRIVATE LIMITED
07 OF 2026,12/01/2026,DDJAY-APHP,5.619,Sonipat,91,SVSJ Buildprop LLP,11/01/2031,True,PARCEL-MATCH,100,name=100+sector,NIKUNJ CITY,HRERA-PKL-SNP-892-2026,SVSJ BUILDPROP LLP
10 OF 2026,15/01/2026,DDJAY-APHP,10.50625,Kharkhauda,NA,Nextra Dream Town Realty Pvt. Ltd.,14/01/2031,True,DEV-MATCH,100,name=100,NEXTRA DEVELOPERS LLP,35 OF 2017 DATED 07.08.2017,NEXTRA DEVELOPERS LLP
13 OF 2026,21/01/2026,DDJAY-APHP,9.75625,Kharkhauda,NA,Siddhartha Developers,20/01/2031,True,DEV-MATCH,100,name=100,SIDDHARTHA DEVELOPERS,HRERA-PKL-SNP-648-2025,SIDDHARTHA DEVELOPERS
42 OF 2026,09/03/2026,CPL,2.03125,Sonipat,34,SNPC RESIDENCY LIMITED,08/03/2031,True,DEV-MATCH,100,name=100,NV CITY- I,HRERA-PKL-SNP-853-2026,SNPC RESIDENCY LIMITED
58 OF 2026,03/04/2026,CIC,3.01875,Sonipat,86,Soha Developers Pvt. Ltd.,02/04/2031,True,DEV-MATCH,100,name=100,ARCONIA CITY,HRERA-PKL-SNP-802-2025,SOHA DEVELOPERS PRIVATE LIMITED
64 OF 2026,10/04/2026,IPA,22.65625,Sonipat,NA,Rritam Dream Builders,09/04/2031,True,WEAK,77,name=77,SONIPAT INTERNATIONAL CITY BY RIGHTLAND,HRERA-PKL-SNP-927-2026,RRITAM DREAMBUILDERS LLP
73 OF 2026,23/04/2026,DDJAY-APHP,8.3375,Sonipat,80,Skybyte Buildtech Pvt. Ltd.,22/04/2031,True,UNMATCHED,0,,,,
91 OF 2026,14/05/2026,DDJAY-APHP,5.6736,Sonipat,NA,Kalptaru Developers Pvt. Ltd.,13/05/2031,True,DEV-MATCH,100,name=100,KALPTARU RESIDENCY,HRERA-PKL-SNP-954-2026,KALPTARU DEVELOPERS PRIVATE LIMITED
95 OF 2026,15/05/2026,IPA,21.49375,Sonipat,NA,HRM EDUCATION LLP,14/05/2031,True,UNMATCHED,0,,,,
107 OF 2026,02/06/2026,DDJAY-APHP,8.10625,Sonipat,33,Kreshya Realtech LLP,01/06/2031,True,UNMATCHED,0,,,,
110 OF 2026,08/06/2026,DDJAY-APHP,11.5563,Sonipat,11,Nugraj Dream Builders Pvt. Ltd.,07/06/2031,True,DEV-MATCH,100,name=100,MAJESTIC GREENS-2,HRERA-PKL-SNP-655-2025,NUGRAJ DREAM BUILDERS PRIVATE LIMITED
124 OF 2026,02/07/2026,DDJAY-APHP,17.85625,Sonipat,NA,Rishika Edifice LLP,01/07/2031,True,DEV-MATCH,100,name=100,RISHIKA GREENS,HRERA-PKL-SNP-361-2022,RISHIKA CONSTRUCTIONS LLP
125 OF 2026,02/07/2026,DDJAY-APHP,11.26875,Kharkhauda,10,Om Shiva Real Estate Pvt. Ltd.,01/07/2031,True,UNMATCHED,0,,,,
127 OF 2026,03/07/2026,CPL,3.31875,Sonipat,35,Jainsons Infratech LLP,02/07/2031,True,PARCEL-MATCH,75,name=75+sector,TULIP GRAND ON LAND MEASURING 15.055 ACRES,HRERA-PKL-SNP-93-2019,TULIP INFRATECH PVT LTD
128 OF 2026,06/07/2026,DDJAY-APHP,5.98125,Kharkhauda,04,Ramville Buildcon LLP,05/07/2031,True,UNMATCHED,0,,,,
131 OF 2026,07/07/2026,AHP,5.2625,Sonipat,NA,Chirag Buildtec Private Limited,06/07/2031,True,UNMATCHED,0,,,,
149 OF 2026,25/07/2026,CPL,1.19725,Kharkhauda,10A,Buildaxis Developers Pvt Ltd,24/07/2031,True,UNMATCHED,0,,,,
150 OF 2026,25/07/2026,RGH,1.509,Kharkhauda,10A,Buildaxis Developers Pvt Ltd,24/07/2031,True,UNMATCHED,0,,,,
153 OF 2026,28/07/2026,DDJAY-APHP,15.0875,Sonipat,NA,Birdview Housing Projects LLP,27/07/2031,True,UNMATCHED,0,,,,
