CaseNo,Colony,BR3,BR7,LC9,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlanRaw,ValidUpto,Sector,Developer,LandSchedule1,LandSchedule2
LC-2062,"DUCE SON-33, 34 & 35 RPL DUCE SON-33, 34 & 35 RPL (Layout Plan)",13/7/2017,,06/03/2024 06/01/2026,LC-2062A,71 OF 2009,26/11/2009,RPL,110.26,Sonipat,25/11/2027,"35,33",Duce Properties & Service P,View Land Schedule,View
LC-2062,"DUCE SON-33, 34 & 35 RPL DUCE SON-33, 34 & 35 RPL (Layout Plan)",13/7/2017,,06/03/2024 06/01/2026,LC-2062B,24 OF 2014,11/06/2014,RPL,104.46,Sonipat,10/06/2027,"33, 34 & 35",Jindal Reality Pvt. Ltd. & Ors.,View Land Schedule,View
LC-909,"OMAXE SON 8-9, 17-19 RPL (Earlier approved on 17/12/2012) OMAXE SON 8-9, 17-19 RPL (Earlier approved on 21/05/2010) OMAXE SON 8-9, 17-19 RPL (In-principle approved on 24/02/2015)",,,08/01/2019 (Part Completion),LC-909A,39 OF 2010,21/05/2010,RGH,27.225,Sonipat,20/05/2020,"8,9,17,18,19",Omaxe Housing & Developers Pvt. Ltd,View Land Schedule,View
LC-1501,"MAPSKO SON-26, 27 RGH",,,,LC-1501A,49 OF 2010,23/06/2010,RGH,34.018,Sonipat,22/06/2030,27,Mapsko Builders Pvt. Ltd.,View Land Schedule,View
LC-773,"INTIME SON 59, 60 RPL",,,,LC-773A,51 OF 2010,08/07/2010,RPL,32.79,Sonipat,07/07/2018,"59,60",Intime promoters,View Land Schedule,View
LC-1162,INDIABULLS SON-34 CIR,,,,LC-1162A,25 OF 2011,24/03/2011,CIR,3,Sonipat,23/03/2026,34,Indiabulls Estate Ltd.,View Land Schedule,View
LC-627,INTIME SON-19 RGH (Earlier approved on 11/06/2013) INTIME SON-19 RGH (In-principle approval on 14/03/2017),11/5/2017,,,LC-627A,70 OF 2012,06/07/2012,RGH,10.84,Sonipat,05/07/2018,19,TDI Infrastructure Ltd.,View Land Schedule,View
LC-627,INTIME SON-19 RGH (Earlier approved on 11/06/2013) INTIME SON-19 RGH (In-principle approval on 14/03/2017),11/5/2017,,,TDR/LC-627A,3 TDR OF 2018,28/02/2018,RGH,1.3375,Sonipat,,19,TDI Infrastructure Ltd.,,View
LC-2586,ANSAL SON-63 CIR,,,,LC-2586A,50 OF 2013,17/06/2013,CIR,2.11,Sonipat,16/06/2019,63,Ansal Properties & Infrastructure Ltd.,View Land Schedule,View
LC-3077,MAX HEIGHTS SON-61 AHP,,"06/03/2019 (Tower A-H, Comm., Community Building, Creche etc.)",,LC-3077A,142 OF 2014,29/08/2014,AHP,5,Sonipat,28/08/2019,61,Max Heights Promotors Pvt. Ltd.,View Land Schedule,View
LC-2697,REGARDS SON-63 RGH,,,,LC-2697A,145 OF 2014,01/09/2014,RGH,10.18,Sonipat,31/08/2019,63,Regards Developers Pvt. Ltd.,View Land Schedule,View
LC-2952,TDI MANSION SON-64 RGH,,,,LC-2952A,11 OF 2016,26/08/2016,RGH,10.02,Sonipat,25/08/2021,64,TDI Mansion Pvt. Ltd.,View Land Schedule,View
LC-3329,NEXTRA SON-2 DDJAY-APHP (Revised Layout Plan),,,,LC-3329A,24 OF 2017,13/06/2017,DDJAY-APHP,14.759,Kharkhauda,12/06/2022,02,Nextra Developers LLP,View Land Schedule,View
LC-3231,SUPERMAX SON-33 AHP,24/01/2018,19/01/2023 28/12/2023,18/09/2024,LC-3231A,76 OF 2017,08/09/2017,AHP,5,Sonipat,07/09/2024,33,Super Max Affordable Housing Pvt. Ltd.,View Land Schedule,View
LC-3847,PARILOK SON-63 DDJAY-APHP (Layout Plan) (Layout Plan),,,,LC-3847A,46 OF 2019,05/03/2019,DDJAY-APHP,6.2,Sonipat,04/03/2024,63,Parilok Real Estates Pvt. Ltd.,View Land Schedule,View
LC-3851,PUSHPRATTAN SON-63 DDJAY-APHP (Layout Plan) (Layout Plan),,,,LC-3851A,47 OF 2019,05/03/2019,DDJAY-APHP,5.6375,Sonipat,04/03/2024,63,Pushprattan Developers Pvt. Ltd.,View Land Schedule,View
LC-3854,JS SON-64 DDJAY-APHP (Layout Plan) (Layout Plan),,,,LC-3854A,48 OF 2019,05/03/2019,DDJAY-APHP,11.3,Sonipat,04/03/2024,64,J S BROADCASTING PRIVATE LIMITED,View Land Schedule,View
LC-3958,SAMYAK SON-35 DDJAY-APHP,,,01/08/2023,LC-3958A,90 OF 2019,07/08/2019,DDJAY-APHP,5.674,Sonipat,06/08/2024,35,Samyak Properties and Infrastructure Pvt. Ltd.,View Land Schedule,View
LC-3794,TDI MANSION SON-64 DDJAY-APHP (Layout Plan) (Layout Plan),,,16/11/2023 27/07/2026,LC-3794A,93 OF 2019,09/08/2019,DDJAY-APHP,10.01875,Sonipat,08/08/2024,64,TDI MANSION PVT. LT.,View Land Schedule,View
LC-3744,AP REAL SON-27 DDJAY-APHP,,,,LC-3744A,106 OF 2019,10/09/2019,DDJAY-APHP,12.018,Sonipat,09/09/2024,27,AP Real Estate Pvt Ltd,,View
LC-3790,ANSAL SON-63 DDHAY-APHP ANSAL SON-63 DDHAY-APHP (Layout Plan),,,27/08/2025,LC-3790A,110 OF 2019,11/09/2019,DDJAY-APHP,6.143,Sonipat,10/09/2024,63,Ansal Properties & Infrastructure Ltd,View Land Schedule,View
LC-3983,ANSAL SON-35 DDJAY-APHP,,,,LC-3983A,120 OF 2019,14/09/2019,DDJAY-APHP,11.45625,Sonipat,13/09/2024,35,Ansal Properties & Infrastructure Ltd,View Land Schedule,View
LC-4086,SANJIV  SON-2 DDJAY-APHP,,,28/07/2022,LC-4086A,14 OF 2020,17/06/2020,DDJAY-APHP,7.95625,Sonipat,16/06/2025,2,SANJIV SARIN NEERU SARIN AND PREM SARIN,View Land Schedule,View
LC-4261,YPINFRATECH SON-26 DDJAY APHP,,,16/08/2022 16/08/2022,LC-4261A,29 OF 2020,19/10/2020,DDJAY-APHP,7.325,Sonipat,18/10/2025,26,THE POLICE EMPLOYEES CO- OPERATIVE HOUSE BUILDING,View Land Schedule,View
LC-3791,GEECITY SON-17 DDJAY-APHP,,,05/12/2025,LC-3791A,31 OF 2020,26/10/2020,DDJAY-APHP,10.006,Sonipat,25/10/2025 Migrated from 188 of 2007,17,Gee City Builders Pvt. Ltd.,View Land Schedule,View
LC-4085,SUNFROST SON-2 DDJAY-APHP,,,28/07/2022,LC-4085A,3 OF 2021,18/02/2021,DDJAY-APHP,9.475,Sonipat,17/02/2026,2,SUNFROST FROZEN FOODS LLP,View Land Schedule,View
LC-4483,RISHIKA SON-9&18 DDJAY-APHP,,,01/06/2026,LC-4483A,28 OF 2021,18/06/2021,DDJAY-APHP,13.98125,Sonipat,17/06/2026,9,Rishika Buildtech Pvt. Ltd.,View Land Schedule,View
LC-4483,RISHIKA SON-9&18 DDJAY-APHP,,,01/06/2026,LC-4483B,38 OF 2022,12/04/2022,DDJAY-APHP,2.625,Sonipat,11/04/2027,9,Rishika Buildtech Pvt. Ltd.,View Land Schedule,View
LC-4360,SYSCOM SON IPL (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-4360A,34 OF 2021,09/07/2021,IPA,21.14375,Sonipat,08/07/2026,21A,SYSCOM EDUTECH PRIVATE LIMITED,View Land Schedule,View
LC-4360,SYSCOM SON IPL (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-4360B,45 OF 2022,13/04/2022,IPA,11,Sonipat,12/04/2027,21A,SYSCOM EDUTECH PRIVATE LIMITED,View Land Schedule,View
LC-4360,SYSCOM SON IPL (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-4360C,242 OF 2023,09/11/2023,IPA,7.88125,Sonipat,08/11/2028,NA,SYSCOM EDUTECH PRIVATE LIMITED,View Land Schedule,View
