developer_key,promoter_names,n_projects,projects,reg_numbers
TRIDENT PARK TOWN,TRIDENT PARK TOWN PRIVATE LIMITED,1,TRIDENT PARKTOWN 1,HRERA-PKL-PNP-819-2026
THE UNIQUE DEFENCE OPERATIVE GROUP HOUSING SOCIETY,THE UNIQUE DEFENCE CO-OPERATIVE GROUP HOUSING SOCIETY LTD,1,THE UNIQUE DEFENCE CO-OPERATIVE GROUP HOUSING SOCIETY LTD,HRERA-PKL-PNP-798-2025
PANIPAT INDUSTRIAL PARK,PANIPAT INDUSTRIAL PARK,1,SIGMA INDUSTRIAL PARK - PANIPAT,HRERA-PKL-PNP-876-2026
BHUTANI HOME,BHUTANI HOMES PRIVATE LIMITED,1,ENVISIO FLOORS,HRERA-PKL-PNP-871-2026
NIHARIKA BUILDWELL,NIHARIKA BUILDWELL PRIVATE LIMITED,1,NIHARIKA AURUM,HRERA-PKL-PNP-718-2025
THE SLDC EMPLOYEE COOPERATIVE GROUP HOUSING SOCIETY,THE SLDC EMPLOYEES COOPERATIVE GROUP HOUSING SOCIETY LIMITED,1,PRIME,HRERA-PKL-PNP-730-2025
VEDYA MEDITECH,VEDYA MEDITECH PRIVATE LIMITED,1,VEDYA INDUSTRIAL PARK,HRERA-PKL-PNP-719-2025
PRIME INDUSTRIAL PARK,PRIME INDUSTRIAL PARK,1,SIGMA INDUSTRIAL PARK PANIPAT PHASE 2,HRERA-PKL-PNP-931-2026
SAMISHA INFRASPACE,SAMISHA INFRASPACE LLP,1,GARDEN CITY,HRERA-PKL-PNP-930-2026
WAVERLY INFRASTRUCTURE,WAVERLY INFRASTRUCTURE LLP,1,THE VILLAGE BUSINESS PARK,HRERA-PKL-PNP-321-2022
SUMMIT DEVELOPER,SUMMIT DEVELOPERS,1,ACRES BY AURA INDUSTRIAL ESTATE,HRERA-PKL-PNP-956-2026
