CaseNo,Colony,BR3,BR7,LC9,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlanRaw,ValidUpto,Sector,Developer,LandSchedule1,LandSchedule2
LC-4316,JAI KRISHAN PAN-40 DDJAY-APHP,,,,LC-4316A,148 OF 2024,13/11/2024,DDJAY-APHP,21.927,Panipat,12/11/2029,40,JAI KRISHAN BABA PROJECTS JV,View Land Schedule,View
LC-4673,JAISHIVA PAN-40 DDJAY-APHP,,,,LC-4673B,161 OF 2024,20/11/2024,DDJAY-APHP,9.3125,Panipat,19/11/2029,40,Jay Shiva Earthmovers  and construction Pvt. Ltd.,View Land Schedule,View
LC-5022,RALITH PAN-19A RPL (Layout Plan) (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-5022A,166 OF 2024,28/11/2024,RPL,21.36875,Panipat,27/07/2030,19A,Ralith Realty Private Limited,View Land Schedule,View
LC-5022,RALITH PAN-19A RPL (Layout Plan) (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-5022B,63 OF 2026,07/04/2026,RPL,32,Panipat,06/04/2031,19A,Ralith Realty Private Limited,View Land Schedule,View
LC-5021,SUPARVESH PAN-39 DDJAY-APHP,,,,LC-5021A,187 OF 2024,16/12/2024,DDJAY-APHP,9.74062,Panipat,15/12/2029,39,Suparvesh Developers Pvt. Ltd.,View Land Schedule,View
LC-5315,KUBER PAN IPL (Demarcation cum Zoning Plan),,,,LC-5315A,193 OF 2024,30/12/2024,IPL,28.9986,Panipat,29/12/2029,NA,KUBER SPINTAX PVT. LTD.,View Land Schedule,View
LC-5194,VEDYA PAN IPL (Layout Plan),,,,LC-5194A,36 OF 2025,24/03/2025,IPL,18.55,Panipat,23/03/2030,NA,Vedya Meditech Pvt. Ltd.,View Land Schedule,View
LC-5469,PARACHUTE PAN IPL(EPP) (Layout Plan),,,,LC-5469A,80 OF 2025,27/05/2025,IPA,20.3125,Panipat,26/05/2030,NA,Parachute Buildtech LLP,View Land Schedule,View
LC-5513,BENZ PAN-32A IPL (Demarcation cum Zoning Plan) (Demarcation cum Layout Plan) (Layout Plan),,,,LC-5513A,89 OF 2025,04/06/2025,IPL,25.20937,Panipat,03/06/2030,32A,Benz Realty,View Land Schedule,View
LC-5549,MSINFRA  PAN-40 DDJAY-APHP (Layout Plan) (Demarcation -Cum -Zoning Plan),,,,LC-5549A,110 OF 2025,02/07/2025,DDJAY-APHP,6.7552,Panipat,01/07/2030,40,M S INFRA PRIVATE LIMITED,View Land Schedule,View
LC-5294,RGHOME PAN IPL (Layout Plan),,,,LC-5294A,111 OF 2025,02/07/2025,IPA,30.46875,Panipat,01/07/2030,NA,RG Home Furnishing Pvt. Ltd.,View Land Schedule,View
LC-5002,UTTIRNA PAN-36&38 CIR (Demarcation - Cum Zoning Plan),,,,LC-5002A,147 OF 2025,14/08/2025,CIR,3.91875,Panipat,13/08/2030,38,Uttirna Infraprojects Pvt. Ltd.,View Land Schedule,View
LC-5522,PANIPAT PAN IPL (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-5522A,223 OF 2025,14/11/2025,IPA,29.3,Panipat,13/11/2030,NA,Panipat Industrial Park,View Land Schedule,View
LC-5574,TRIDENT PAN-19A & 40 NILP (Layout Plan),,,,LC-5574A,242 OF 2025,04/12/2025,NILP,59.77084,Panipat,03/12/2030,40,TRIDENT PARK TOWN PRIVATE LIMITED,View Land Schedule,View
LC-5728,SUMMIT PAN IPA (Layout Plan) (Revised Layout cum Demarcation Plan) (Demarcation cum Zoning Plan),,,,LC-5728A,68 OF 2026,20/04/2026,IPA,25.23125,Panipat,19/04/2031,,Summit Developers,View Land Schedule,View
LC-5686,PRIME PAN IPL (Layout Plan) (Demarcation Cum Zoning Plan),,,,LC-5686A,79 OF 2026,01/05/2026,IPL,28.3611,Panipat,30/04/2031,NA,PRIME INDUSTRIAL PARK,View Land Schedule,View
LC-5761,SAMISHA PAN-39 DDJAY-APHP (Layout Plan) (Demarcation Cum Zoning Plan),,,,LC-5761A,87 OF 2026,08/05/2026,DDJAY-APHP,14.39375,Panipat,07/05/2031,39,SAMISHA INFRASPACE LLP,View Land Schedule,View
LC-5862,AURRUM PAN-7 RGH(LOPP),,,,LC-5862A,148 OF 2026,20/07/2026,RGH,1.6125,Panipat,21/07/2031,7,Aurrum Crest Pvt. Ltd.,View Land Schedule,View
LC-5573,TRIDENT PAN-19A NILP,,,,LC-5573A,159 OF 2026,10/08/2026,NILP,64.30833,Panipat,09/08/2031,40,TRIDENT PARK TOWN PRIVATE LIMITED,View Land Schedule,View
LC-5573,TRIDENT PAN-19A NILP,,,,LC-5573A,159 OF 2026,10/08/2026,NILP,64.30833,Panipat,09/08/2031,40,TRIDENT PARK TOWN PRIVATE LIMITED,View Land Schedule,View
