licence_no,issue_date,purpose,area_acre,sector,dev_plan,developer_raw,developer_group,tier,score,locality_tier,valid_upto_raw,lat,lng,map_link
33 OF 2026,19/02/2026,DDJAY-APHP,9.30625,5,ASSANDH,Landmark Estate,Landmark Estate,B-,,,18/02/2031,,,
144 OF 2026,14/07/2026,DDJAY-APHP,6.21875,34,KARNAL,SATWIK INFRASTRUCTURE,Satwik Infrastructure,B-,,,13/07/2031,,,
60 OF 2024,10/06/2024,RPL,24.86875,29,KARNAL,HARYANA PROMOTERS PVT. LTD.,Haryana Promoters Private Limited,C,,prime,09/06/2029,,,
188 OF 2025,30/09/2025,DDJAY-APHP,5.03125,33,KARNAL,ESMAX INFRADEVELOPERS PRIVATE LIMITED,Esmax Infradevelopers Pvt Ltd,C,,prime,29/09/2030,,,
75 OF 2026,24/04/2026,DDJAY-APHP,16.7585,NA,KARNAL,RNR Townships Pvt Ltd,Rnr Townships Pvt Ltd,C,,,23/04/2031,,,
96 OF 2026,18/05/2026,DDJAY-APHP,8.7402,10,ASSANDH,M/s Richminds Developers Pvt. Ltd.,M/S Richminds Developers Pvt. Ltd.,C,,,17/05/2031,,,
