licence_no,issue_date,purpose,area_acre,dev_plan,sector,developer_raw,valid_upto_raw,developer_group,tier,score,centroid_lat,centroid_lng,parcel_id,locality_tier,entity_rank,locality_rank,first_seen_year,is_new,is_non_native,hq_city,need_score
75 OF 2026,24/04/2026,DDJAY-APHP,16.7585,KARNAL,NA,RNR Townships Pvt Ltd,23/04/2031,RNR Townships Pvt Ltd,B-,,29.725397147996425,77.00375556940826,2754,,2,0,2026,1,,Karnal,5
188 OF 2025,30/09/2025,DDJAY-APHP,5.03125,KARNAL,33,ESMAX INFRADEVELOPERS PRIVATE LIMITED,29/09/2030,Esmax Infradevelopers Pvt Ltd,C,,29.682189325757204,77.02675801787198,2743,prime,1,2,2021,1,,Karnal,5
33 OF 2026,19/02/2026,DDJAY-APHP,9.30625,ASSANDH,5,Landmark Estate,18/02/2031,Landmark Estate,B-,,29.51144988796893,76.59588456341184,2755,,2,0,2026,1,,,4
96 OF 2026,18/05/2026,DDJAY-APHP,8.7402,ASSANDH,10,M/s Richminds Developers Pvt. Ltd.,17/05/2031,Richminds Developers Pvt Ltd,B-,,29.53086424305107,76.62152930341101,2745,,2,0,2026,1,0,Jind,4
144 OF 2026,14/07/2026,DDJAY-APHP,6.21875,KARNAL,34,SATWIK INFRASTRUCTURE,13/07/2031,Satwik Infrastructure,B-,,29.66763903302333,77.02355676194207,2740,,2,0,2026,1,,,4
