Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
14,RERA-PKL-1160-2022,NIRVANA CITY,HRERA-PKL-KRK-381-2022,SVSJ BUILDCON PRIVATE LIMITED,"SECTOR-3, VILLAGE RATTANGARH AND JHAMRA, SHAHABAD",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2187 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2187
17,RERA-PKL-1349-2023,GARDEN CITY,HRERA-PKL-KRK-520-2023,M/S SHAMISHA LAND DEVELOPERS PVT. LTD.,"VILLAGE UMRI, SECTOR 30",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2643 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2643
18,RERA-PKL-1217-2023,ANANDA HOMES,HRERA-PKL-KRK-453-2023,ESS GEE DEVELOPERS AND PROMOTERS,"SECTOR-10, VILLAGE JHAMBRA, SHAHBAD",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2344 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2344
19,RERA-PKL-1070-2022,THE FLOWER CITY,HRERA-PKL-KRK-333-2022,DECENT INFRAHEIGHTS PRIVATE LIMITED,VILLAGE UMRI AND BIR PIPLI SECTOR 32,KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1972 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1972
20,RERA-PKL-1305-2023,GODREJ PARKLAND ESTATE,HRERA-PKL-KRK-483-2023,GODREJ PROJECTS DEVELOPMENT LIMITED,"SECTOR 41, KURUKSHETRA",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2529 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2529
21,RERA-PKL-1189-2022,DD CITY ( THE DREAM DESTINATION),HRERA-PKL-KRK-407-2023,DRVS REALESTATE PVT LTD,"VILLAGE DARAKHERA & NARKATARI, SECTOR 46 KURUKSHETRA",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2262 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2262
22,RERA-PKL-1104-2022,GLOBAL GREENS,HRERA-PKL-KRK-358-2022,BAHADURGARH TOWNSHIPS PVT. LTD.,VILLAGE PARTAPGARH SECTOR 41,KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2059 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2059
23,RERA-PKL-1148-2022,VINAYAK CITY,HRERA-PKL-KRK-437-2023,ARNIKA DEVELOPERS LLP,"VILLAGE JHAMRA, SECTOR 3, SHAHABAD",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2157 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2157
24,RERA-PKL-1249-2023,SRI KRISHNA RESIDENCY,HRERA-PKL-KRK-443-2023,BRAHAM VATIKA REAL ESTATE PRIVATE LIMITED,VILLAGE UMRI SECTOR 32,KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2409 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2409
25,RERA-PKL-1256-2023,GREEN HOMES 2,HRERA-PKL-KRK-479-2023,GREEN HOMES INFRA DEVELOPERS PVT LTD,SECTOR-29,KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2426 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2426
27,RERA-PKL-1345-2023,THE FLOWER CITY,HRERA-PKL-KRK-535-2024,M/S SHAMISHA HOMES PVT LTD.,"VILLAGE SARASWATI KHERA, SECTOR 2, PEHOWA",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2628 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2628
28,RERA-PKL-1725-2025,LOTUS ENCLAVE,HRERA-PKL-KRK-738-2025,NISCHAY HOUSING PRIVATE LIMITED,"VILLAGE PARTAPGARH, SECTOR 41",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3527 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3527
29,RERA-PKL-1717-2025,NIRVANA CITY,HRERA-PKL-KRK-732-2025,SVSJ BUILDCON PRIVATE LIMITED,"VILLAGE JHAMRA, SECTOR-3",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3513 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3513
30,RERA-PKL-1510-2024,GREENHOMES ROYAL,HRERA-PKL-KRK-636-2024,GREEN HOMES INFRA DEVELOPERS PVT LTD,"SECTOR-28,29",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3038 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3038
31,RERA-PKL-1754-2025,GREEN HOMES PRIME,HRERA-PKL-KRK-758-2025,SUN AND SKY DEVELOPERS PRIVATE LIMITED,"SECTOR-29, 30",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3588 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3588
32,RERA-PKL-1794-2025,KOHINOOR CITY PHASE  II,HRERA-PKL-KRK-799-2025,SPARV REALTORS PRIVATE LIMITED,VILLAGE UMRI SECTOR 32,KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3669 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3669
33,RERA-PKL-1863-2025,THE FLOWER CITY PHASE II,HRERA-PKL-KRK-839-2026,DECENT INFRA RETAIL LLP,"VILLAGE SARASWATI KHERA, SECTOR 2",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3799 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3799
34,RERA-PKL-1886-2025,GREEN HOMES B R,HRERA-PKL-KRK-834-2026,BOX HIVE INNOVATION PVT. LTD.,"VILLAGE KHERI MARKANDA, SECTOR 11",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3841 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3841
35,RERA-PKL-1686-2025,THE FLOWER CITY,HRERA-PKL-KRK-713-2025,M/S SHARVIL BUILDTECH LLP,VILLAGE RATTANGARH AND JHAMRA SECTOR 5,KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3455 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3455
36,RERA-PKL-1692-2025,GREENHOMES ELITE,HRERA-PKL-KRK-728-2025,GREENHOMES INFRA DEVELOPERS PVT LTD,SECTOR-28,KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3470 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3470
37,RERA-PKL-1694-2025,DREAM CITY,HRERA-PKL-KRK-725-2025,AGGARSAIN LAND DEVELOPERS PVT LTD,"GHADULA ROAD, SECTOR-1 LADWA",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3474 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3474
38,RERA-PKL-2066-2026,NEW SATYAM ENCLAVE,HRERA-PKL-KRK-934-2026,AGGARSAIN LAND DEVELOPERS,"VILLAGE DERA, SECTOR",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4140 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4140
39,RERA-PKL-2087-2026,UDYANAM,HRERA-PKL-KRK-944-2026,JAGRAN DEVELOPERS LIMITED,SECTOR 41 & 42,KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4177 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4177
40,RERA-PKL-888-2020,"KURUKSHETRA GLOBAL CITY, KURUKSHETRA PHASE-II",HRERA-PKL-KRK-236-2021,JAGRAN DEVELOPERS PRIVATE LIMITED,SECTOR 29-30,KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1505 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1505
41,RERA-PKL-93-2018,KRISHNA KUNJ,HRERA-PKL-KUK-113-2019,"ANTIQUE INDIA PVT LTD IN COLLABORATION WITH SULTAN SINGH, MULTAN SINGH, KEHAR SINGH","VILLAGE NARKATARI, SEC.46, KURUKSHETRA",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/107 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/107
42,RERA-PKL-1354-2023,KOHINOOR CITY,HRERA-PKL-KRK-543-2024,HOMESHETRA  REALTORS PRIVATE LIMITED,VILLAGE UMRI SECTOR 32 KURUKSHETRA,KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2653 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2653
