LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,Sector,Developer,ValidUpto,licence_active,match_status,match_score,match_why,rera_project,rera_reg_no,rera_promoter
192 OF 2023,21/09/2023,RPL,22.75,Pehowa,2,SHAMISHA HOME PVT. LTD,20/09/2028,True,PARCEL-MATCH,100,name=100+sector,THE FLOWER CITY,HRERA-PKL-KRK-535-2024,M/S SHAMISHA HOMES PVT LTD.
201 OF 2023,09/10/2023,RPL,15.04375,Kurukshetra,30,Shamisha Land Developers Pvt. Ltd.,08/10/2028,True,PARCEL-MATCH,100,name=100+sector,GARDEN CITY,HRERA-PKL-KRK-520-2023,M/S SHAMISHA LAND DEVELOPERS PVT. LTD.
205 OF 2023,11/10/2023,DDJAY-APHP,20.03125,Kurukshetra,32,Homeshetra Realtors Pvt. Ltd.,10/10/2028,True,PARCEL-MATCH,100,name=100+sector,KOHINOOR CITY,HRERA-PKL-KRK-543-2024,HOMESHETRA  REALTORS PRIVATE LIMITED
220 OF 2023,26/10/2023,RPL,16.19375,Kurukshetra,29,GREEN HOMES INFRA DEVELOPERS PVT. LTD,25/10/2028,True,PARCEL-MATCH,100,name=100+sector,GREEN HOMES,HRERA-PKL-KRK-295-2022,GREEN HOMES INFRA DEVELOPERS PVT LTD
97 OF 2024,25/07/2024,RPL,17.49375,Kurukshetra,29,GREEN HOMES INFRA DEVELOPERS PVT. LTD,24/07/2029,True,PARCEL-MATCH,100,name=100+sector,GREEN HOMES,HRERA-PKL-KRK-295-2022,GREEN HOMES INFRA DEVELOPERS PVT LTD
6 OF 2025,10/01/2025,DDJAY-APHP,20.2375,Kurukshetra,28,GREEN HOMES INFRA DEVELOPERS PVT. LTD,09/01/2030,True,PARCEL-MATCH,100,name=100+sector,GREENHOMES ROYAL,HRERA-PKL-KRK-636-2024,GREEN HOMES INFRA DEVELOPERS PVT LTD
43 OF 2025,28/03/2025,DDJAY-APHP,16.08125,Ladwa,1,Aggarsain Land Developers Pvt. Ltd.,27/03/2030,True,PARCEL-MATCH,100,name=100+sector,DREAM CITY,HRERA-PKL-KRK-725-2025,AGGARSAIN LAND DEVELOPERS PVT LTD
97 OF 2025,13/06/2025,DDJAY-APHP,21.8625,Kurukshetra,30,Sun and Sky Developers Pvt. Ltd.,12/06/2030,True,DEV-MATCH,100,name=100,GREEN HOMES PRIME,HRERA-PKL-KRK-758-2025,SUN AND SKY DEVELOPERS PRIVATE LIMITED
145 OF 2025,13/08/2025,DDJAY-APHP,12.71875,Kurukshetra,32,M/s Sparv Realtors Pvt. Ltd.,12/08/2030,True,PARCEL-MATCH,100,name=100+sector,KOHINOOR CITY PHASE  II,HRERA-PKL-KRK-799-2025,SPARV REALTORS PRIVATE LIMITED
156 OF 2025,27/08/2025,DDJAY-APHP,6.9375,Kurukshetra,11,Box Hive Innovation Private Limited,26/08/2030,True,PARCEL-MATCH,100,name=100+sector,GREEN HOMES B R,HRERA-PKL-KRK-834-2026,BOX HIVE INNOVATION PVT. LTD.
205 OF 2025,15/10/2025,DDJAY-APHP,11.6375,Pehowa,2,Decent Infra Retail LLP,14/10/2030,True,PARCEL-MATCH,100,name=100+sector,THE FLOWER CITY PHASE II,HRERA-PKL-KRK-839-2026,DECENT INFRA RETAIL LLP
264 OF 2025,30/12/2025,RPL,10.54375,Ladwa,3,Aggarsain Land Developers,29/12/2030,True,DEV-MATCH,100,name=100,DREAM CITY,HRERA-PKL-KRK-725-2025,AGGARSAIN LAND DEVELOPERS PVT LTD
25 OF 2026,12/02/2026,RPL,56.16875,Kurukshetra,41,Jagran Developers Limited,11/02/2031,True,PARCEL-MATCH,100,name=100+sector,UDYANAM,HRERA-PKL-KRK-944-2026,JAGRAN DEVELOPERS LIMITED
