CaseNo,Colony,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,ValidUpto,Sector,Developer
LC-5091 Map View,MADHUBAN NIL-14 DDJAY-APHP,LC-5091A,41 OF 2024,11/03/2024,DDJAY-APHP,6.22031,NILOKHERI AND TARAORI,11/03/2029,14,Madhuban Colonizers Pvt. Ltd.
LC-5162 Map View,METROPOLE KAR-5 DDJAY-APHP,LC-5162A,46 OF 2024,13/03/2024,DDJAY-APHP,5.95625,ASSANDH,12/03/2029,5,Metropole Buildtech Pvt. Ltd.
LC-5036 Map View,WHITE KAR-16 CPL (Layout Plan),LC-5036A,56 OF 2024,16/03/2024,CPL,2,NILOKHERI AND TARAORI,15/03/2029,16,White Stone Habitat
LC-5198 Map View,KCG KAR-16 DDJAY-APHP,LC-5198A,68 OF 2024,19/06/2024,DDJAY-APHP,20.6,NILOKHERI AND TARAORI,18/06/2029,16,KCG Resorts Pvt. Ltd.
LC-5312 Map View,WHITE KAR-16 CPL,LC-5312A,173 OF 2024,05/12/2024,CPL,2,NILOKHERI AND TARAORI,04/12/2029,16,White Stone Habitats Pvt. Ltd.
LC-5322 Map View,ALLIANCE KAR IPL (Proposed Layout Plan,LC-5322A,11 OF 2025,16/01/2025,IPA,12.0125,GHARAUNDA,15/01/2030,NA,AllianceTexofab Pvt. Ltd.
LC-5846 Map View,LANDMARK KAR-5 DDJAY-APHP (Layout Plan),LC-5846A,33 OF 2026,19/02/2026,DDJAY-APHP,9.30625,ASSANDH,18/02/2031,5,Landmark Estate
LC-5580 Map View,RICHMINDS KAR-10 DDJAY-APHP (Layout Plan),LC-5580A,96 OF 2026,18/05/2026,DDJAY-APHP,8.7402,ASSANDH,17/05/2031,10,M/s Richminds Developers Pvt. Ltd.
LC-5866 Map View,VRS KAR IPA (Layout Plan),LC-5866A,103 OF 2026,26/05/2026,IPA,11.7375,GHARAUNDA,25/05/2031,NA,VRS Hopes LLP
LC-5602 Map View,SUPARVESH KAR-16 CPL (Layout Plan),LC-5602A,104 OF 2026,27/05/2026,CPL,5.178,NILOKHERI AND TARAORI,26/05/2031,16,Suparversh Buildwell Pvt. Ltd.
