CaseNo,Colony,BR3,BR7,LC9,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlanRaw,ValidUpto,Sector,Developer,LandSchedule1,LandSchedule2
LC-3267,SHARAD (SUNCITY) ROH-36 DDJAY-APHP SHARAD (SUNCITY) ROH-36 DDJAY-APHP (Layout Plan),,,05/02/2018,LC-3267A,28 OF 2017,08/06/2017,DDJAY-APHP,5.02,Rohtak,07/06/2022,36,Sharad Farms & Holdings Pvt. Ltd.,View Land Schedule,View
LC-3283,KAMINI (OMAXE) ROH-22D DDJAY-APHP KAMINI (OMAXE) ROH-22D DDJAY-APHP (Layout Plan),,,19/02/2025,LC-3283A,29 OF 2017,08/06/2017,DDJAY-APHP,8.47,Rohtak,07/06/2025,22D,Kamini Builders & Promoters Pvt. Ltd.,View Land Schedule,View
LC-3291,KASHISH (OMAXE) ROH-22D DDJAY-APHP,,,,LC-3291A,30 OF 2017,08/06/2017,DDJAY-APHP,14.81,Rohtak,07/06/2025,22D,Kashish Buildtech Pvt. Ltd.,View Land Schedule,View
LC-3285,KAMINI (OMAXE) ROH-22D DDJAY-APHP KAMINI (OMAXE) ROH-22D DDJAY-APHP (Layout Plan),,,18/09/2019,LC-3285A,31 OF 2017,08/06/2017,DDJAY-APHP,13.75,Rohtak,07/06/2022,22D,Kamini Builders & Promoters Pvt. Ltd.,View Land Schedule,View
LC-3295,ONE POINT ROH-37 DDJAY-APHP (Layout Plan) (Layout Plan),,,,LC-3295A,32 OF 2017,15/06/2017,DDJAY-APHP,10.49,Rohtak,14/06/2022,37,One Point Realty Pvt. Ltd.,View Land Schedule,View
LC-3230,BESTTECH ROH-25D DDJAY-APHP,,,05/03/2025,LC-3230A,62 OF 2017,28/07/2017,DDJAY-APHP,7.75,Rohtak,27/07/2022,25D,BESTTECH DEVELOPERS PVT. LTD.,View Land Schedule,View
LC-3371,KADIAN ROH-35 DDJAY-APHP,,,25/09/2019,LC-3371A,78 OF 2017,29/09/2017,DDJAY-APHP,6.88125,Rohtak,28/09/2022,35,Kadian Agro Farms Pvt. Ltd.,View Land Schedule,View
LC-3534,DHL INF ROH-27A DDJAY-APHP (Layout Plan),,,,LC-3534A,83 OF 2017,07/10/2017,DDJAY-APHP,8.19375,Rohtak,06/10/2026,27A,DHL INFRATECH PVT. LTD.,View Land Schedule,View
LC-3466,FORTEASIA (OMAXE) ROH-22D DDJAY-APHP,,,12/07/2019,LC-3466A,109 OF 2017,21/12/2017,DDJAY-APHP,11.475,Rohtak,20/12/2022,22D,Forteasia Realty Pvt. Ltd.,View Land Schedule,View
LC-3622,SHRISHTI ROH-3-4 DDJAY-APHP SHRISHTI ROH-3-4 DDJAY-APHP (Layout Plan),,,,LC-3622A,38 OF 2018,13/06/2018,DDJAY-APHP,5.176,Rohtak,12/06/2026,"4,3",SHRISHTI INFRA DEVELOPERS PVT. LTD.,View Land Schedule,View
