Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
71,RERA-PKL-1783-2025,MNM ESTATE,HRERA-PKL-ROH-779-2025,OPG DEVELOPERS  PRIVATE LIMITED,SECTOR 6,ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3647 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3647
73,RERA-PKL-1851-2025,EMPIRE VALLEY,HRERA-PKL-ROH-804-2025,EMPIRE SOUTH PRIVATE LIMITED,VILLAGE BHAIYAPUR,ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3780 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3780
74,RERA-PKL-1809-2025,OM DREAM HOME,HRERA-PKL-ROH-778-2025,OM NEW ERA PRIVATE LIMITED,SECTOR 21B,ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3688 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3688
77,RERA-PKL-1878-2025,THE FLORENCE VISTA,HRERA-PKL-ROH-822-2026,PALM ABODES INFRA,"VILLAGE SUNARI KHURD, SECTOR 21D",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3825 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3825
78,RERA-PKL-1826-2025,KALP-VATIKA,HRERA-PKL-ROH-788-2025,SHRISHTI INFRADEVELOPERS PVT. LTD.,"VILLAGE BOHAR SECTOR 3-4 DIVIDING ROAD, SEC 3",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3725 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3725
79,RERA-PKL-1879-2025,PRIMA CITY,HRERA-PKL-ROH-821-2026,PRIMA LIFE SPACES PRIVATE LIMITED,"SECTOR 22A, SUNARI KALAN, DISTRICT ROHTAK, HARYANA, 124001",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3826 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3826
80,RERA-PKL-1837-2025,FORTEASIA INDUSTRIAL TOWNSHIP,HRERA-PKL-ROH-795-2025,FORTEASIA REALTY PRIVATE LIMITED,"VILLAGE- ANWAL, TEHSIL- KALANAUR, DISTRICT-ROHTAK, HARYANA",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3746 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3746
81,RERA-PKL-1657-2025,FORTEASIA MILLIONAIRE RESIDENCES (GROUP HOUSING PROJECT),HRERA-PKL-ROH-694-2025,FORTEASIA REALTY PRIVATE LIMITED,"PLOT NO. GH-4, SECTOR-30-A, PHASE-II, IMT, ROHTAK, HARYANA",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3390 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3390
82,RERA-PKL-1243-2023,NV CITY,HRERA-PKL-ROH-436-2023,NV RESIDENCY LLP,"SECTOR 21E, ROHTAK",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2396 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2396
83,RERA-PKL-1915-2025,THE FLOWER CITY,HRERA-PKL-ROH-857-2026,IMPERIALSTONE INFRAPARKS PRIVATE LIMITED,"SECTOR-21 D, VILLAGE-SUNARI KHURD",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3880 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3880
84,RERA-PKL-436-2019,THE PLANNETS,HRERA-PKL-RTK-119-2019,SHRISHTI INFRADEVELOPERS PRIVATE LIMITED,"VILLAGE BOHAR, SECTOR-3 & 4, ROHTAK",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/477 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/477
85,RERA-PKL-1973-2026,SUNCITY INDEPENDENT FLOORS 36A,HRERA-PKL-ROH-924-2026,SONIKA PROPOERTIES PVT. LTD.,SECTOR 36A,ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3979 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3979
86,RERA-PKL-1962-2026,SUNCITY TOWNHSIP SECTOR 36A ROHTAK,HRERA-PKL-ROH-925-2026,SONIKA PROPERTIES PRIVATE LTD,SECTOR 36A ROHTAK,ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3957 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3957
87,RERA-PKL-1183-2022,JOP PALMS,HRERA-PKL-ROH-448-2023,JOP INTERNATIONAL LIMITED,"GARHI BOHAR, SECTOR 28",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2246 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2246
88,RERA-PKL-798-2020,SUNCITY HEIGHTS,HRERA-PKL-ROH-224-2021,SONIKA PROPERTIES PRIVATE LIMITED,SECTOR 36A ROHTAK,ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1171 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1171
89,RERA-PKL-1027-2022,ROYAL STREET,HRERA-PKL-ROH-313-2022,CNR LEADING SOFTEK PVT. LTD,VILLAGE SUNARI KALAN AND MAYANA SECTOR 22D ROHTAK,ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1885 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1885
90,RERA-PKL-907-2021,SUNCITY HEIGHTS,HRERA-PKL-ROH-255-2021,SONIKA PROPERTIES PVT. LTD.,SECTOR 36A ROHTAK,ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1545 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1545
91,RERA-PKL-312-2018,RESIDENTIAL GROUP HOUSING COLONY,HRERA-PKL-RTK-107-2019,SONIKA PROPERTIES PRIVATE LIMITED,SECTOR 36A ROHTAK,ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/128 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/128
92,RERA-PKL-2038-2026,NV CITY,HRERA-PKL-ROH-958-2026,VRR RESIDENCY LLP,"SECTOR-22D, VILLAGE MAINA, ROHTAK",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4094 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4094
