Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
32,RERA-PKL-1885-2025,TIRUPATI BALAJI UDYOG VIHAR,HRERA-PKL-HSR-838-2026,SAHIL VERMA,"VILLAGE RAMAYAN, NEAR DPS SCHOOL ,NH-9 HANSI",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3840 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3840
33,RERA-PKL-1888-2025,GOKUL DHAM PHASE II,HRERA-PKL-HSR-856-2026,MAA BHAGWATI ASSOCIATES,"VILLAGE DHANA, SECTOR 1",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3847 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3847
34,RERA-PKL-1893-2025,RAMESHWARAM GREENS,HRERA-PKL-HSR-860-2026,GIRDHAR GOPAL BUILDER AND DEVELOPER LLP,"VILLAGE BUDHA KHERA SECTOR-3, UKLANA",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3852 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3852
40,RERA-PKL-1716-2025,ROYAL CITY BARWALA,HRERA-PKL-HSR-734-2025,BABA JODH DEVELOPERS LLP,"SECTOR - 5, BARWALA",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3511 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3511
41,RERA-PKL-2078-2026,URBAN VISTA,HRERA-PKL-HSR-916-2026,MITTAL RATHEE LAND DEVELOPERS LLP,SECTOR 39 VILLAGE BIR,HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4161 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4161
42,RERA-PKL-1101-2022,THE GREEN CITY,HRERA-PKL-HSR-359-2022,THE OPAL DEVELOPERS AND CONSTRUCTION PVT. LTD.,"SECTOR -2, HNASI",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2055 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2055
43,RERA-PKL-1534-2024,RAJDARBAR SPACES,HRERA-PKL-HSR-638-2024,RAJDARBAR BUILDCON PRIVATE LIMITED,SECTOR 24,HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3097 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3097
44,RERA-PKL-1244-2023,"CONST. OF 756 NOS. EWS FLATS SEC-5, HANSI",HRERA-PKL-HSR-580-2024,HOUSING BOARD HARYANA,SECTOR 5 HANSI,HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2398 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2398
45,RERA-PKL-1572-2024,VDL GREEN CITY,HRERA-PKL-HSR-661-2025,VISHVADHARAM ESTATE LLP,"VILLAGE BEED, SECTOR 36-39 DISTRICT HISAR",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3203 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3203
46,RERA-PKL-2073-2026,ROYAL CITY,HRERA-PKL-HSR-962-2026,SIDHI VINAYAK ASSOCIATES,VILLAGE HANSI HISAR DELHI BYE PASS ROAD HANSI,HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4150 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4150
48,RERA-PKL-2125-2026,CAPTAIN RANJIT SINGH ENCLAVE,HRERA-PKL-HSR-968-2026,CRSD DEVELOPERS,VILLAGE DABRA,HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4250 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4250
