LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,Sector,Developer,ValidUpto,licence_active,match_status,match_score,match_why,rera_project,rera_reg_no,rera_promoter
195 OF 2023,25/09/2023,DDJAY-APHP,7.91875,HANSI,1,Sidhi Vinayak Associates,24/09/2028,True,PARCEL-MATCH,100,name=100+sector,SHREE KRISHNA ENCLAVE,HRERA-PKL-HSR-587-2024,SIDHI VINAYAK ASSOCIATES
204 OF 2023,09/10/2023,DDJAY-APHP,36.6125,HANSI,1,Maa Bhagwati Associates,08/10/2028,True,PARCEL-MATCH,100,name=100+sector,GOKUL DHAM,HRERA-PKL-HSR-581-2024,MAA BHAGWATI ASSOCIATES
215 OF 2025,31/10/2025,DDJAY-APHP,8.59375,HANSI,1,Maa Bhagwati Associates,30/10/2030,True,PARCEL-MATCH,100,name=100+sector,GOKUL DHAM,HRERA-PKL-HSR-581-2024,MAA BHAGWATI ASSOCIATES
91 OF 2024,18/07/2024,DDJAY-APHP,11.03125,Uklana,,Agroha Developers,17/07/2029,True,DEV-MATCH,100,name=100,AGROHA ENCLAVE,HRERA-PKL-HSR-404-2023,M/S. AGROHA DEVELOPERS AND PROMOTERS
117 OF 2024,14/08/2024,IPA,19.725,HISSAR,NA,OM ESTATES,13/08/2029,True,DEV-MATCH,100,name=100,OM ESTATES,HRERA-PKL-HSR-625-2024,OM ESTATES
20 OF 2025,17/02/2025,DDJAY-APHP,5.66875,HISSAR,5,Baba Jodh Developers,16/02/2030,True,PARCEL-MATCH,100,name=100+sector,ROYAL CITY BARWALA,HRERA-PKL-HSR-734-2025,BABA JODH DEVELOPERS LLP
74 OF 2026,24/04/2026,DDJAY-APHP,10.025,HISSAR,5,Baba Jodh Developers,23/04/2031,True,PARCEL-MATCH,100,name=100+sector,ROYAL CITY BARWALA,HRERA-PKL-HSR-734-2025,BABA JODH DEVELOPERS LLP
88 OF 2025,04/06/2025,IPA,16.18125,HANSI,NA,Sidhi Vinayak Associates,03/06/2030,True,DEV-MATCH,100,name=100,SHREE KRISHNA ENCLAVE,HRERA-PKL-HSR-587-2024,SIDHI VINAYAK ASSOCIATES
236 OF 2025,01/12/2025,IPA,12.1125,HANSI,NA,Sidhi Vinayak Associates,30/11/2030,True,DEV-MATCH,100,name=100,SHREE KRISHNA ENCLAVE,HRERA-PKL-HSR-587-2024,SIDHI VINAYAK ASSOCIATES
90 OF 2025,04/06/2025,IPA,10.9125,HANSI,18,V.S. Infratech,03/06/2030,True,PARCEL-MATCH,100,name=100+sector,VS INDUSTRIAL PARK,HRERA-PKL-HSR-770-2025,VS INFRATECH
152 OF 2025,22/08/2025,DDJAY-APHP,9.85,HISSAR,39,M/s Digantika Infrastructure LLP,21/08/2030,True,PARCEL-MATCH,100,name=100+sector,DIGANTIKA RESIDENCY,HRERA-PKL-HSR-784-2025,DIGANTIKA INFRASTRUCTURE LLP
192 OF 2025,09/10/2025,DDJAY-APHP,12.3125,HISSAR,39,Mittal Rathee Land Developers LLP,08/10/2030,True,PARCEL-MATCH,100,name=100+sector,URBAN VISTA,HRERA-PKL-HSR-916-2026,MITTAL RATHEE LAND DEVELOPERS LLP
210 OF 2025,25/10/2025,IPA,14.575,HANSI,NA,Sahil Varma,24/10/2030,True,DEV-MATCH,91,name=91,TIRUPATI BALAJI UDYOG VIHAR,HRERA-PKL-HSR-838-2026,SAHIL VERMA
228 OF 2025,19/11/2025,DDJAY-APHP,9.1833,Uklana,,Girdher Gopal Builder and Developers LLP,18/11/2030,True,DEV-MATCH,92,name=92,RAMESHWARAM GREENS,HRERA-PKL-HSR-860-2026,GIRDHAR GOPAL BUILDER AND DEVELOPER LLP
250 OF 2025,18/12/2025,IPL,18.0875,HISSAR,NA,Shree Radhey Krishna Estate,17/12/2030,True,UNMATCHED,0,,,,
32 OF 2026,17/02/2026,DDJAY-APHP,6.15625,HISSAR,39,Deepti Gupta Trading LLP,16/02/2031,True,UNMATCHED,0,,,,
38 OF 2026,02/03/2026,DDJAY-APHP,9.4625,HISSAR,11,Jindal Prop Infra LLP,01/03/2031,True,UNMATCHED,0,,,,
60 OF 2026,07/04/2026,IPA,17.375,HISSAR,NA,Monarch Farms,06/04/2031,True,UNMATCHED,0,,,,
72 OF 2026,22/04/2026,IPA,43.85,HISSAR,NA,CRSD Developers,21/04/2031,True,UNMATCHED,0,,,,
90 OF 2026,13/05/2026,IPA,29.3125,HISSAR,NA,Radhe Krishana,12/05/2031,True,UNMATCHED,0,,,,
155 OF 2026,04/08/2026,IPA,23.43125,HISSAR,NA,SSK DEVELOPERS,03/08/2031,True,UNMATCHED,0,,,,
161 OF 2026,10/08/2026,DDJAY-APHP,20.6375,HANSI,2,Vasudha Associates,09/08/2031,True,WEAK,70,name=70,SHREE KRISHNA ENCLAVE,HRERA-PKL-HSR-587-2024,SIDHI VINAYAK ASSOCIATES
