applicant_raw,purpose,area_acre,dev_plan,sector,status,status_date,detail
Bhagirathi Realtors Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,12.74,KURUKSHETRA,32,Rejected,30/03/2017,LC-3457A
Sun and Sand Developers,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.11,KURUKSHETRA,,Returned,26/10/2016,LC-3406A
Aqasia Homes Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,9.07,KURUKSHETRA,1,Returned,25/10/2016,LC-3440A
Brahamvatika Real Estate Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,11.7,KURUKSHETRA,32,Returned,20/06/2017,LC-3388A
Ansal Properties & Infrastructure Ltd.,RESIDENTIAL PLOTTED COLONY,2.09,KURUKSHETRA,Sec-32,Rejected,06/02/2019,LC-827D
Ansal Properties & Infrastructure Ltd,RESIDENTIAL PLOTTED COLONY,33.16,KURUKSHETRA,31,Withdrawn,,LC-827C
