file_no,receipt_date,purpose,area_acre,dev_plan,sector,developer_raw
LC-6033A,27/08/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.435,KURUKSHETRA,NA,SHRI MANGAL HARMAN REAL ESTATE PRIVATE LIMITED
LC-5905A,19/03/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,9.9875,KURUKSHETRA,40,SH Group Builders LLP.
LC-5841A,19/12/2025,COMMERCIAL LICENCE IN RESIDENTIAL ZONE,2.473,PEHOWA,2,Pehowa Pride Infra LLP
LC-5671A,15/05/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,11.475,KURUKSHETRA,44,SAPNA BUILDPROP LLP
LC-5301A,12/01/2024,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.65,KURUKSHETRA,NA,Blue Sky Promotors Pvt Ltd
LC-5279A,06/12/2023,RESIDENTIAL PLOTTED COLONY,17.49375,KURUKSHETRA,29,GREEN HOMES INFRA DEVELOPERS PVT. LTD
LC-4589B,17/12/2021,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.15625,KURUKSHETRA,32,DECENT INFRAHEIGHTS PRIVATE LIMITED
LC-4005A,27/12/2018,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,8.5809,PEHOWA,2,SARASWATI BUILDERS AND DEVELOPERS
