applicant_raw,purpose,area_acre,dev_plan,sector,status,status_date,detail
Daffodil Buildcon Pvt. Ltd.,COMMERCIAL LICENCE IN RESIDENTIAL ZONE,2.5,HISAR,24,Withdrawn,21/07/2016,LC-3135A
Aerens Goldsouk Projects (Hissar)  Pvt. Ltd.,COMMERCIAL PLOTTED COLONY,6.075,HISSAR,25,Returned,01/06/2018,LC-3833A
Daffodil Buildcon Pvt. Ltd.,COMMERCIAL LICENCE IN RESIDENTIAL ZONE,2.66,HISAR,24,Withdrawn,01/06/2016,LC-3136A
East City Buildcon Pvt. Ltd.,RESIDENTIAL PLOTTED COLONY,14.5,HISAR,7,Returned,,LC-2964A
