licence_no,issue_date,purpose,area_acre,sector,dev_plan,developer_raw,developer_group,tier,score,locality_tier,valid_upto_raw,lat,lng,map_link
38 OF 2026,02/03/2026,DDJAY-APHP,9.4625,11,HISSAR,Jindal Prop Infra LLP,Jindal Prop Infra LLP (SR Jindal Group),B,,,01/03/2031,29.119298,75.766344,"https://maps.google.com/?q=29.119298,75.766344"
161 OF 2026,10/08/2026,DDJAY-APHP,20.6375,2,HANSI,Vasudha Associates,Vasudha Associates,C+,,,09/08/2031,,,
32 OF 2026,17/02/2026,DDJAY-APHP,6.15625,39,HISSAR,Deepti Gupta Trading LLP,"Deepti Gupta Trading LLP (Gupta family, Rishi Nagar)",C+,,,16/02/2031,29.19593,75.672507,"https://maps.google.com/?q=29.19593,75.672507"
