licence_no,issue_date,purpose,area_acre,dev_plan,sector,developer_raw,valid_upto_raw,developer_group,tier,score,centroid_lat,centroid_lng,parcel_id,locality_tier,entity_rank,locality_rank,first_seen_year,is_new,is_non_native,hq_city,need_score
148 OF 2024,13/11/2024,DDJAY-APHP,21.927,PANIPAT,40,JAI KRISHAN BABA PROJECTS JV,12/11/2029,Jai Krishan Baba Projects JV,C+,,29.45625426589244,76.97718790836633,2788,prime,1,2,2022,1,0,Panipat,7
25 OF 2022,21/03/2022,DDJAY-APHP,16.98958,PANIPAT,40,JAI KRISHAN BABA PROJECTS JV,20/03/2027,Jai Krishan Baba Projects JV,C+,,29.457663954834043,76.98062427921835,2787,prime,1,2,2022,1,0,Panipat,7
